stage,transition_year_start,transition_year_end,n,alpha,mode_beta,nll,mean_q_now,mean_q_next,mean_raw_delta,median_raw_delta
0-4,0,4,9789,4.493032478200457,0.79437458348975,27068.423528353593,6.634465643301612,7.2359964976963544,0.6015308543947417,0.0
5-7,5,7,5140,4.116321385947654,0.7481481747041381,13912.655107375114,7.388392184771192,7.060129287251368,-0.3282628975198229,-0.1718615178446825
8-13,8,13,7664,3.797656679495657,0.7481478972751031,20025.75774712162,6.642415353813145,6.473340981655188,-0.1690743721579579,-0.09202112401657292
14-19,14,19,4440,3.608782924307976,0.7742030421095408,11397.44962445772,6.5336658895013064,6.423050222638374,-0.1106156668629322,-0.060074965249392154
