previous_quantile,n,previous_mean,next_mean,next_median,target_q_now,source,model_tag
1,1490,0.30645203004906324,1.4818419304807269,0.0,0,Empirical,empirical
2,292,1.9434954201975494,2.069044550841827,1.6728094678460528,0,Empirical,empirical
3,268,2.590815589484674,2.6548922911994337,2.2279075736025726,0,Empirical,empirical
4,285,3.4169277324785496,3.2607189472590106,2.805192523944833,0,Empirical,empirical
5,281,4.721514300984257,2.944045023198429,2.4119594510180393,0,Empirical,empirical
6,290,8.129140363379866,4.423919432294753,3.902056991355255,0,Empirical,empirical
1,688,0.220827337002241,3.9787627278647766,2.6892289639051876,0,ARW4,arw4
2,687,0.629781806862416,4.201340593596101,3.123486383468963,0,ARW4,arw4
3,687,1.0696796739621306,3.636204388854896,2.6465749729914254,0,ARW4,arw4
4,687,1.5435765202795475,4.035056788671168,2.770923189890916,0,ARW4,arw4
5,687,2.097082795814766,3.8576574236501795,2.571476757514101,0,ARW4,arw4
6,687,2.7204396326050544,3.7657122338695275,2.7107028293479014,0,ARW4,arw4
7,687,3.4833425919256653,3.9972233573144558,2.7744045403465396,0,ARW4,arw4
8,687,4.521870253645835,3.999613113731628,2.594629764557456,0,ARW4,arw4
9,687,5.988073213841433,3.741753711752837,2.587978790289611,0,ARW4,arw4
10,688,9.627852157489407,4.035708389539947,2.7652898669623975,0,ARW4,arw4
1,1802,0.04176968539157266,0.05453134976999763,0.03913573535419995,0,Unfitted-GRW,unfitted_grw
2,1802,0.10021785569217957,0.1281818629141163,0.10082446676364284,0,Unfitted-GRW,unfitted_grw
3,1802,0.15193173668142873,0.1919685730359501,0.15153662051231714,0,Unfitted-GRW,unfitted_grw
4,1801,0.20455129010786732,0.24791286221474654,0.19903439677490245,0,Unfitted-GRW,unfitted_grw
5,1802,0.25886768081050815,0.28212233315067864,0.23041389255863587,0,Unfitted-GRW,unfitted_grw
6,1802,0.320524577365869,0.3325797338588866,0.28091731496635575,0,Unfitted-GRW,unfitted_grw
7,1801,0.3907027975420366,0.35752427031913175,0.3045641557989916,0,Unfitted-GRW,unfitted_grw
8,1802,0.4841082394438428,0.38863005769466885,0.33635426019347964,0,Unfitted-GRW,unfitted_grw
9,1802,0.6188510208604867,0.4191475240986357,0.36235784821102024,0,Unfitted-GRW,unfitted_grw
10,1802,0.9782536724620455,0.45507218907424835,0.3915361858400769,0,Unfitted-GRW,unfitted_grw
1,15377,0.00015219912238316079,0.4581224028622917,0.037804498239236706,0,GRW-Y,grw_y
2,3844,0.07319385405425993,0.4853572089594184,0.050465260842571524,0,GRW-Y,grw_y
3,3844,0.21418571886972426,0.5161963772558484,0.07701443181783285,0,GRW-Y,grw_y
4,3844,0.4115607519162275,0.5443306963528073,0.09035071109671178,0,GRW-Y,grw_y
5,3844,0.6894433283843682,0.6122588441794914,0.11570234553742931,0,GRW-Y,grw_y
6,3844,1.1937368249802423,0.614214589656478,0.14516113942304315,0,GRW-Y,grw_y
7,3845,3.120462308051216,0.688072909431202,0.1700777457311009,0,GRW-Y,grw_y
1,42384,0.0018991789402290303,0.13042621193747134,0.0,0,GRW-G,grw_global
2,6055,0.21527980097146937,0.43436503186283754,0.0,0,GRW-G,grw_global
3,6055,0.642149006636919,0.5101777177155838,0.010879821621122998,0,GRW-G,grw_global
4,6055,2.3257288235395683,0.6474780349834113,0.12094406661403012,0,GRW-G,grw_global
1,1474,3.831400672079607e-05,1.276339939378142,0.6931019060314952,0,AR(1)-GRW-Y,ar1_y
