source,model_tag,stage,productivity,dropout,n
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.155350113776075,0.4944876168875056,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.2254690051933212,0.4998092014445865,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.2955878966105674,0.5051308292282194,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.3657067880278135,0.5104512947140768,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.4358256794450597,0.5157693934307884,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.505944570862306,0.5210839230500375,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.576063462279552,0.5263936844725362,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.646182353696798,0.5316974829077984,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.7163012451140442,0.5369941289456468,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.7864201365312904,0.5422824396174245,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.8565390279485365,0.547561239444906,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.9266579193657822,0.5528293614749514,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,3.9967768107830284,0.5580856482979892,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.0668957022002745,0.5633289530484655,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.137014593617521,0.5685581403854584,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.207133485034767,0.573772087451716,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.277252376452013,0.5789696848094521,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.347371267869259,0.5841498373512944,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.417490159286506,0.5893114651848772,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.487609050703751,0.5944535044896296,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.557727942120997,0.5995749083444201,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.627846833538244,0.6046746475247867,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.697965724955489,0.6097517112685871,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.768084616372736,0.614805108008993,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.838203507789982,0.6198338660738498,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.908322399207228,0.6248370343505206,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,4.978441290624474,0.6298136829154344,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.0485601820417205,0.6347629036276567,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.118679073458966,0.6396838106859041,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.188797964876213,0.6445755411485209,
