source,model_tag,top_fraction,year,overlap,continuous_survival,jaccard,reference_group_n
AR(1)-GRW-S,ar1_s,0.05,10,0.068,0.0,0.035196687370600416,500
AR(1)-GRW-S,ar1_s,0.05,11,0.064,0.0,0.03305785123966942,500
AR(1)-GRW-S,ar1_s,0.05,12,0.052,0.0,0.026694045174537988,500
AR(1)-GRW-S,ar1_s,0.05,13,0.066,0.0,0.03412616339193381,500
AR(1)-GRW-S,ar1_s,0.05,14,0.056,0.0,0.02880658436213992,500
AR(1)-GRW-S,ar1_s,0.05,15,0.064,0.0,0.03305785123966942,500
AR(1)-GRW-S,ar1_s,0.05,16,0.05,0.0,0.02564102564102564,500
AR(1)-GRW-S,ar1_s,0.05,17,0.05,0.0,0.02564102564102564,500
AR(1)-GRW-S,ar1_s,0.05,18,0.042,0.0,0.021450459652706845,500
AR(1)-GRW-S,ar1_s,0.05,19,0.056,0.0,0.02880658436213992,500
AR(1)-GRW-S,ar1_s,0.05,20,0.048,0.0,0.02459016393442623,500
Empirical,empirical,0.1,0,1.0,1.0,1.0,51
Empirical,empirical,0.1,1,0.49019607843137253,0.49019607843137253,0.32051282051282054,51
Empirical,empirical,0.1,2,0.4117647058823529,0.27450980392156865,0.25925925925925924,51
Empirical,empirical,0.1,3,0.37254901960784315,0.23529411764705882,0.23170731707317074,51
Empirical,empirical,0.1,4,0.3137254901960784,0.11764705882352941,0.18604651162790697,51
Empirical,empirical,0.1,5,0.3137254901960784,0.09803921568627451,0.18604651162790697,51
Empirical,empirical,0.1,6,0.39215686274509803,0.0784313725490196,0.25,51
Empirical,empirical,0.1,7,0.27450980392156865,0.058823529411764705,0.15555555555555556,51
Empirical,empirical,0.1,8,0.37254901960784315,0.058823529411764705,0.2289156626506024,51
Empirical,empirical,0.1,9,0.29411764705882354,0.0392156862745098,0.1724137931034483,51
Empirical,empirical,0.1,10,0.23529411764705882,0.0392156862745098,0.13333333333333333,51
Empirical,empirical,0.1,11,0.23529411764705882,0.0196078431372549,0.1348314606741573,51
Empirical,empirical,0.1,12,0.23529411764705882,0.0196078431372549,0.13333333333333333,51
Empirical,empirical,0.1,13,0.23529411764705882,0.0196078431372549,0.13333333333333333,51
Empirical,empirical,0.1,14,0.17647058823529413,0.0196078431372549,0.0967741935483871,51
Empirical,empirical,0.1,15,0.17647058823529413,0.0196078431372549,0.0967741935483871,51
Empirical,empirical,0.1,16,0.17647058823529413,0.0196078431372549,0.09574468085106383,51
Empirical,empirical,0.1,17,0.13725490196078433,0.0,0.07291666666666667,51
Empirical,empirical,0.1,18,0.13725490196078433,0.0,0.07368421052631578,51
Empirical,empirical,0.1,19,0.13725490196078433,0.0,0.07368421052631578,51
Empirical,empirical,0.1,20,0.19607843137254902,0.0,0.10869565217391304,51
AR(1)-GRW-S,ar1_s,0.1,0,1.0,1.0,1.0,1000
AR(1)-GRW-S,ar1_s,0.1,1,0.223,0.223,0.12549240292628025,1000
AR(1)-GRW-S,ar1_s,0.1,2,0.16,0.082,0.08695652173913043,1000
AR(1)-GRW-S,ar1_s,0.1,3,0.114,0.026,0.060445387062566275,1000
AR(1)-GRW-S,ar1_s,0.1,4,0.102,0.007,0.05374077976817703,1000
AR(1)-GRW-S,ar1_s,0.1,5,0.114,0.001,0.060445387062566275,1000
AR(1)-GRW-S,ar1_s,0.1,6,0.105,0.0,0.055408970976253295,1000
AR(1)-GRW-S,ar1_s,0.1,7,0.104,0.0,0.05485232067510549,1000
AR(1)-GRW-S,ar1_s,0.1,8,0.103,0.0,0.05429625724828677,1000
AR(1)-GRW-S,ar1_s,0.1,9,0.104,0.0,0.05485232067510549,1000
AR(1)-GRW-S,ar1_s,0.1,10,0.121,0.0,0.06439595529536987,1000
AR(1)-GRW-S,ar1_s,0.1,11,0.123,0.0,0.06553010122535961,1000
AR(1)-GRW-S,ar1_s,0.1,12,0.114,0.0,0.060445387062566275,1000
AR(1)-GRW-S,ar1_s,0.1,13,0.108,0.0,0.05708245243128964,1000
AR(1)-GRW-S,ar1_s,0.1,14,0.096,0.0,0.05042016806722689,1000
AR(1)-GRW-S,ar1_s,0.1,15,0.095,0.0,0.049868766404199474,1000
AR(1)-GRW-S,ar1_s,0.1,16,0.088,0.0,0.04602510460251046,1000
AR(1)-GRW-S,ar1_s,0.1,17,0.093,0.0,0.04876769795490299,1000
AR(1)-GRW-S,ar1_s,0.1,18,0.094,0.0,0.04931794333683106,1000
AR(1)-GRW-S,ar1_s,0.1,19,0.11,0.0,0.0582010582010582,1000
AR(1)-GRW-S,ar1_s,0.1,20,0.105,0.0,0.055408970976253295,1000
Empirical,empirical,0.25,0,1.0,1.0,1.0,130
Empirical,empirical,0.25,1,0.45384615384615384,0.45384615384615384,0.295,130
Empirical,empirical,0.25,2,0.46153846153846156,0.2923076923076923,0.30456852791878175,130
Empirical,empirical,0.25,3,0.4076923076923077,0.2076923076923077,0.25853658536585367,130
Empirical,empirical,0.25,4,0.4307692307692308,0.16153846153846155,0.28,130
Empirical,empirical,0.25,5,0.4230769230769231,0.13846153846153847,0.2696078431372549,130
Empirical,empirical,0.25,6,0.43846153846153846,0.13076923076923078,0.28217821782178215,130
Empirical,empirical,0.25,7,0.4153846153846154,0.12307692307692308,0.2634146341463415,130
Empirical,empirical,0.25,8,0.4461538461538462,0.12307692307692308,0.2871287128712871,130
Empirical,empirical,0.25,9,0.3923076923076923,0.1076923076923077,0.2463768115942029,130
Empirical,empirical,0.25,10,0.3923076923076923,0.09230769230769231,0.2463768115942029,130
Empirical,empirical,0.25,11,0.46923076923076923,0.09230769230769231,0.31443298969072164,130
Empirical,empirical,0.25,12,0.4307692307692308,0.08461538461538462,0.27860696517412936,130
Empirical,empirical,0.25,13,0.3769230769230769,0.07692307692307693,0.23557692307692307,130
Empirical,empirical,0.25,14,0.4,0.07692307692307693,0.2524271844660194,130
Empirical,empirical,0.25,15,0.38461538461538464,0.06923076923076923,0.24154589371980675,130
Empirical,empirical,0.25,16,0.36923076923076925,0.06923076923076923,0.22857142857142856,130
Empirical,empirical,0.25,17,0.34615384615384615,0.05384615384615385,0.2112676056338028,130
