source,model_tag,year,mean_log,var_log,median_log,mean_raw,var_raw,median_raw
Empirical,empirical,0,1.0599460852232132,1.4934491918653388,1.313471942695364,4.648321669008808,25.15367636937618,3.2290636986567964
Empirical,empirical,1,1.3165766889005912,1.4363227656318487,1.6502167103604037,5.772606639331006,29.3189500700517,4.7191618036677205
Empirical,empirical,2,1.541007866958419,1.4001252606398233,1.7982462181775212,7.289018893203994,49.54848756583571,5.549047000824661
Empirical,empirical,3,1.6598252188477938,1.2837407674389547,1.8902314276131817,7.802990526638463,47.46727156505063,6.1309007630139
Empirical,empirical,4,1.6836525585116509,1.403471379271125,1.9626115147528094,8.223628041999493,48.98058752149345,6.6278912923482185
Empirical,empirical,5,1.7187541870398844,1.22185884402223,1.9626115147528094,8.132085495414996,50.15123842887844,6.6278912923482185
Empirical,empirical,6,1.7046471984682652,1.0996711495829548,1.887523850644814,7.721388582419465,43.73290435345349,6.113022614748648
Empirical,empirical,7,1.6337240289910846,1.2132340347659731,1.8108231345222845,7.585208442187829,52.88631754894183,5.62547922309496
Empirical,empirical,8,1.6579637382822536,1.061189826354044,1.8108231345222845,7.342618909068554,41.98379493019987,5.62547922309496
Empirical,empirical,9,1.6438562782334503,1.2084215674618954,1.8290942272325226,7.60923065031412,48.759087308600755,5.739282355063921
Empirical,empirical,10,1.6354438272263734,1.2107981670749157,1.8944752230292548,7.537495330918754,45.22120237031518,6.159368381659231
Empirical,empirical,11,1.658308505739842,1.1458369887416893,1.8473653199427607,7.6157691438867,49.14705397023937,5.853085487032883
Empirical,empirical,12,1.6303655702050217,1.1200226163533509,1.8083518917919812,7.441891819353682,51.73986314016686,5.610385047889666
Empirical,empirical,13,1.5578239610992457,1.3139827560699595,1.7751514975714313,7.426428791234259,63.334607455799464,5.411175082295543
Empirical,empirical,14,1.611618629681261,1.2242841022666693,1.8083518917919812,7.56339247904044,55.69825082177226,5.610385047889666
Empirical,empirical,15,1.60055535757311,1.2435779831586118,1.7777184877027141,7.595510009676398,61.62264639826298,5.426342799856521
Empirical,empirical,16,1.6467340738466432,1.1574392450656952,1.8715360619494312,7.560510347106778,51.63480445206356,6.0082704829463385
Empirical,empirical,17,1.5222427363469644,1.334246753244457,1.7777184877027141,7.132478319948957,53.85887027087819,5.426342799856521
Empirical,empirical,18,1.5764307464082785,1.2078758964427256,1.7182603249038275,7.332218006212176,58.198364423011604,5.084821644986893
Empirical,empirical,19,1.4937101910937496,1.2631442734997336,1.6730141284151712,6.872635157322854,50.13385346315955,4.838203507789982
Empirical,empirical,20,1.447582253066901,1.3316170451753389,1.6368958894082986,6.789832191717035,53.76726420060672,4.649225292772076
ARW4,arw4,0,1.233727665845079,0.8042242428030624,1.291788273322536,4.50159190282943,20.18345456126241,3.149288803482185
ARW4,arw4,1,1.596873480102394,0.741851434818498,1.6923675973245258,6.350970227751792,30.06959487485679,4.942327156923248
ARW4,arw4,2,1.7334047673538888,0.7229703491135738,1.8473872721786329,7.224257694791723,34.411165887270805,5.853224737247093
ARW4,arw4,3,1.8161802333656965,0.713168951366661,1.9326028724149913,7.819261767756898,37.39142380087454,6.417466117235007
ARW4,arw4,4,1.861546494757965,0.7215611261064965,1.9896426371128648,8.185131280387864,39.23740085827025,6.822919933250834
ARW4,arw4,5,1.8971315071760249,0.7083272197207138,2.01864613139123,8.458525727174951,41.516154099117685,7.038126042468194
ARW4,arw4,6,1.8463336870669773,0.6922565275602063,1.9662714627995381,7.972054973450457,36.50653036626317,6.653990141365608
ARW4,arw4,7,1.8163255076029527,0.6682494690908365,1.9355314556714918,7.65354798127101,33.0321263702259,6.437724999509106
ARW4,arw4,8,1.7991525562039878,0.6687573242552858,1.915384770678421,7.5209134533209845,32.227732277164414,6.299550761692242
ARW4,arw4,9,1.754022880598644,0.6734288936257907,1.869057590881427,7.1910455089536045,30.108711862709857,5.992184768728363
ARW4,arw4,10,1.7427078429691398,0.6511308658159477,1.8533950304785973,7.0407131558983425,28.18580078163883,5.891448042823187
ARW4,arw4,11,1.7096245720409344,0.6513516687741976,1.8212299148079238,6.816209586839256,27.40610408039399,5.6894539880374655
ARW4,arw4,12,1.69515928170084,0.6675265995931821,1.8098020988058483,6.756772719875386,27.547690285136028,5.6192382917121195
ARW4,arw4,13,1.6911711970498604,0.6724621611378157,1.7936464757568995,6.736107537501401,27.16676424580041,5.521332728780115
ARW4,arw4,14,1.6959336699711545,0.6674157022716103,1.8037199067723035,6.758425011737713,27.272093277389498,5.582193508110732
ARW4,arw4,15,1.6954639407678807,0.6555272259397312,1.8017541355581161,6.725927929508936,26.606544101754,5.570268679670387
ARW4,arw4,16,1.7002954920002324,0.6590427162597703,1.816836462555365,6.752657045138425,26.305514796676412,5.662364416373613
ARW4,arw4,17,1.7097469183888665,0.6431771101939686,1.8173886609768728,6.782839339648105,26.21088701653046,5.665763311594477
ARW4,arw4,18,1.7018323273812395,0.6682221077652539,1.811149109771591,6.791772929054426,26.912762475612784,5.627473057384061
ARW4,arw4,19,1.7004302121766104,0.6630280381839032,1.818444764332156,6.749792327724249,25.99288731888007,5.67226726010872
ARW4,arw4,20,1.711943733507856,0.636197106649564,1.819280426565081,6.776173467088032,25.849743116458534,5.677419059532386
Unfitted-GRW,unfitted_grw,0,1.5130111510906512,0.1915257431282546,1.5029045078897472,4.514397928285706,5.515703211588994,4.004725103846978
Unfitted-GRW,unfitted_grw,1,1.5164293045640638,0.37651521178253733,1.4924516783916641,5.061055925040338,16.63120520687306,3.9579872618931278
Unfitted-GRW,unfitted_grw,2,1.525074367031219,0.5597245808229858,1.491927495833852,5.722721883028629,38.679391857254835,3.95565625321734
Unfitted-GRW,unfitted_grw,3,1.5474119564670084,0.7360708178935905,1.4919408943178687,6.547791743695603,74.53825081513676,3.9557158202362723
Unfitted-GRW,unfitted_grw,4,1.5613964803871363,0.904055940465337,1.4912480897905487,7.435127615860034,139.08304599900842,3.9526372686329525
Unfitted-GRW,unfitted_grw,5,1.5686850288463794,1.0730793393247033,1.4726995366273319,8.40534401230864,244.84266589823952,3.8709919224495004
Unfitted-GRW,unfitted_grw,6,1.582405161962059,1.2360614174204827,1.4946951432635478,9.514172597884608,444.95467172894047,3.967977301423336
Unfitted-GRW,unfitted_grw,7,1.604038991055669,1.3831018239375579,1.4964207130301552,10.810288481824585,720.875441097411,3.9756765024355953
Unfitted-GRW,unfitted_grw,8,1.6165826484686994,1.5373956094765409,1.4916376191034373,12.210113789448185,1275.9800837282282,3.9543679228587294
Unfitted-GRW,unfitted_grw,9,1.6302828015914017,1.6776379962312282,1.5022848320395439,13.70184446219002,1860.375647006051,4.001940688304433
Unfitted-GRW,unfitted_grw,10,1.6430434505908378,1.8155864666483292,1.505787261512523,15.165272674446786,2332.2887391853365,4.01770274806519
Unfitted-GRW,unfitted_grw,11,1.6617253929517894,1.9626111909645996,1.5064998016417825,17.08589548358299,3388.1451514938058,4.0209140502291465
Unfitted-GRW,unfitted_grw,12,1.6678947080937272,2.0934455563261016,1.4965853161702496,18.680040723696038,4140.315411258007,3.976412096255122
Unfitted-GRW,unfitted_grw,13,1.6887504147143968,2.2376279670086996,1.500056645331929,20.659098308435254,4910.913326398981,3.9919433843174117
Unfitted-GRW,unfitted_grw,14,1.7024170927056883,2.379164009574651,1.4986872664881106,23.967327595050993,10076.505906932767,3.9858096685692637
Unfitted-GRW,unfitted_grw,15,1.7089710818270276,2.4924848745397292,1.4982587167858052,26.17433148616637,13221.910627354255,3.9838924489732754
