source,model_tag,reference_year,target_year,starting_decile,ending_decile,probability
AR(1)-GRW-S,ar1_s,0,5,2,3,0.104
AR(1)-GRW-S,ar1_s,0,5,2,4,0.094
AR(1)-GRW-S,ar1_s,0,5,2,5,0.105
AR(1)-GRW-S,ar1_s,0,5,2,6,0.098
AR(1)-GRW-S,ar1_s,0,5,2,7,0.091
AR(1)-GRW-S,ar1_s,0,5,2,8,0.104
AR(1)-GRW-S,ar1_s,0,5,2,9,0.095
AR(1)-GRW-S,ar1_s,0,5,2,10,0.102
AR(1)-GRW-S,ar1_s,0,5,3,1,0.108
AR(1)-GRW-S,ar1_s,0,5,3,2,0.088
AR(1)-GRW-S,ar1_s,0,5,3,3,0.106
AR(1)-GRW-S,ar1_s,0,5,3,4,0.091
AR(1)-GRW-S,ar1_s,0,5,3,5,0.109
AR(1)-GRW-S,ar1_s,0,5,3,6,0.108
AR(1)-GRW-S,ar1_s,0,5,3,7,0.099
AR(1)-GRW-S,ar1_s,0,5,3,8,0.097
AR(1)-GRW-S,ar1_s,0,5,3,9,0.1
AR(1)-GRW-S,ar1_s,0,5,3,10,0.094
AR(1)-GRW-S,ar1_s,0,5,4,1,0.094
AR(1)-GRW-S,ar1_s,0,5,4,2,0.099
AR(1)-GRW-S,ar1_s,0,5,4,3,0.107
AR(1)-GRW-S,ar1_s,0,5,4,4,0.103
AR(1)-GRW-S,ar1_s,0,5,4,5,0.103
AR(1)-GRW-S,ar1_s,0,5,4,6,0.095
AR(1)-GRW-S,ar1_s,0,5,4,7,0.1
AR(1)-GRW-S,ar1_s,0,5,4,8,0.103
AR(1)-GRW-S,ar1_s,0,5,4,9,0.097
AR(1)-GRW-S,ar1_s,0,5,4,10,0.099
AR(1)-GRW-S,ar1_s,0,5,5,1,0.104
AR(1)-GRW-S,ar1_s,0,5,5,2,0.108
AR(1)-GRW-S,ar1_s,0,5,5,3,0.101
AR(1)-GRW-S,ar1_s,0,5,5,4,0.086
AR(1)-GRW-S,ar1_s,0,5,5,5,0.117
AR(1)-GRW-S,ar1_s,0,5,5,6,0.101
AR(1)-GRW-S,ar1_s,0,5,5,7,0.082
AR(1)-GRW-S,ar1_s,0,5,5,8,0.103
AR(1)-GRW-S,ar1_s,0,5,5,9,0.105
AR(1)-GRW-S,ar1_s,0,5,5,10,0.093
AR(1)-GRW-S,ar1_s,0,5,6,1,0.106
AR(1)-GRW-S,ar1_s,0,5,6,2,0.096
AR(1)-GRW-S,ar1_s,0,5,6,3,0.094
AR(1)-GRW-S,ar1_s,0,5,6,4,0.109
AR(1)-GRW-S,ar1_s,0,5,6,5,0.105
AR(1)-GRW-S,ar1_s,0,5,6,6,0.098
AR(1)-GRW-S,ar1_s,0,5,6,7,0.089
AR(1)-GRW-S,ar1_s,0,5,6,8,0.091
AR(1)-GRW-S,ar1_s,0,5,6,9,0.103
AR(1)-GRW-S,ar1_s,0,5,6,10,0.109
AR(1)-GRW-S,ar1_s,0,5,7,1,0.108
AR(1)-GRW-S,ar1_s,0,5,7,2,0.09
AR(1)-GRW-S,ar1_s,0,5,7,3,0.111
AR(1)-GRW-S,ar1_s,0,5,7,4,0.094
AR(1)-GRW-S,ar1_s,0,5,7,5,0.087
AR(1)-GRW-S,ar1_s,0,5,7,6,0.097
AR(1)-GRW-S,ar1_s,0,5,7,7,0.109
AR(1)-GRW-S,ar1_s,0,5,7,8,0.099
AR(1)-GRW-S,ar1_s,0,5,7,9,0.106
AR(1)-GRW-S,ar1_s,0,5,7,10,0.099
AR(1)-GRW-S,ar1_s,0,5,8,1,0.097
AR(1)-GRW-S,ar1_s,0,5,8,2,0.092
AR(1)-GRW-S,ar1_s,0,5,8,3,0.101
AR(1)-GRW-S,ar1_s,0,5,8,4,0.098
AR(1)-GRW-S,ar1_s,0,5,8,5,0.097
