source,model_tag,state,run_length,probability
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,zero,12,1.1459216647949946e-05
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,zero,13,1.1459216647949946e-05
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,1,0.1671190351685384
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,2,0.1155822273130971
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,3,0.08413224100865725
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,4,0.06909202586385783
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,5,0.05972094258655179
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,6,0.05379450019505798
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,7,0.05019215285905194
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,8,0.044506420312590785
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,9,0.04113648248213352
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,10,0.03645509101322244
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,11,0.03190650497605352
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,12,0.027756335234111074
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,13,0.02589705918972086
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,14,0.022610124754102442
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,15,0.019962316458743162
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,16,0.018011736680030213
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,17,0.01676668575744748
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,18,0.015944952148542874
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,19,0.016119259277704457
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,20,0.016675382023124744
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,active,21,0.06661852469766014
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,1,0.6175907150779159
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,2,0.22901986265305893
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,3,0.09105676484097554
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,4,0.03690218791660598
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,5,0.014967007606735153
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,6,0.006251190302813035
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,7,0.002509438401129247
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,8,0.000952242250428509
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,9,0.000515331100231899
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,10,0.00014563705006553668
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,11,5.601425002520641e-05
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,12,2.2405700010082567e-05
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,zero,13,1.1202850005041283e-05
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,1,0.16855404619781048
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,2,0.11411072080702875
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,3,0.09329632268048835
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,4,0.07742759586332261
