source,model_tag,year,spearman
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,0,1.0
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,1,0.5169780984861042
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,2,0.3123073852627945
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,3,0.17471353416818586
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,4,0.09777770678653795
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,5,0.05433530475323484
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,6,0.03530765516145166
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,7,0.0035223520431144923
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,8,0.006882981993502009
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,9,-0.006117555395363682
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,10,0.0029304359102915786
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,11,0.004531243773361731
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,12,-0.0024759030400848684
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,13,-0.010652177209357148
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,14,0.0042414837826831335
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,15,0.0010907489799884414
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,16,0.00012732772940957462
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,17,0.0049976713423522685
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,18,-0.0025245186742271367
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,19,0.0017198056889527328
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,20,-0.0029836409257195475
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,1.0
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,1,0.5899942308038615
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,2,0.3677723784980286
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,3,0.21738102288770025
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,4,0.13663267477603083
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,5,0.08853671586494068
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,6,0.0632286593247595
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,7,0.03745928899869349
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,8,0.021824628536710307
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,9,0.025318226795000412
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,10,0.008337234259221345
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,11,0.006730354102198271
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,12,0.010039507785558158
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,13,0.0016320209682754777
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,14,-0.012867273073733946
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,15,-0.00013995258270164553
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,16,0.00031823017526423403
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,17,-0.004203599347749827
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,18,-0.006234135461496342
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,19,-0.00509616570819362
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,20,0.00039933755558350026
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,0,1.0
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,1,0.5986660881434198
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,2,0.47076345189010643
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,3,0.3967115543075925
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,4,0.32794956016466026
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,5,0.2800484789209984
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,6,0.2425010581858233
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,7,0.21658770143157047
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,8,0.1774427578334676
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,9,0.14835146085258227
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,10,0.1283476035772912
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,11,0.10215503471864501
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,12,0.08591539487847964
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,13,0.07851044099293719
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,14,0.07847471324861034
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,15,0.06322857872835587
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,16,0.05539682174180176
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,17,0.04260036142401696
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,18,0.038349579888561365
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,19,0.03821451911098369
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,20,0.018023195527130807
