source,model_tag,stage,intercept,beta,residual_sd,n
Empirical,empirical,0,0.9452476656035853,0.35032821807989256,1.1204881557571704,510
Empirical,empirical,1-4,0.9657167523220276,0.4419198961103393,1.0288185737561293,2040
Empirical,empirical,5-7,0.8919517047430434,0.4588535306756378,0.936893501058903,1530
Empirical,empirical,8-20,0.5848206435300902,0.6242158014229287,0.8733969754992655,6120
AR(1)-GRW-S,ar1_s,0,0.9952060577035622,0.4036319565598564,0.9283185800433079,10000
AR(1)-GRW-S,ar1_s,1-4,0.8623084444125272,0.517061976122779,0.850230044799527,40000
AR(1)-GRW-S,ar1_s,5-7,0.6712928702293555,0.5660880310030281,0.8377881657852333,30000
AR(1)-GRW-S,ar1_s,8-20,0.5134341660966925,0.6382791519616865,0.8324230453013376,120000
