stage,transition_year_start,transition_year_end,n,intercept,beta_1,beta_2,beta_3,sigma_resid,var_resid,spectral_radius,is_stationary,implied_stationary_mean_log,implied_stationary_var_log
0,0,0,0,,,,,,,,False,,
1-4,1,4,4181,0.5870200011354133,0.35470893090010225,0.2744337171452973,0.10348509826039629,0.5747697719666096,0.33036029076654844,0.8331705275401977,True,2.1955157763183344,0.5443095881452243
5-7,5,7,3880,0.31820881736169204,0.34609109920263476,0.2704057542027016,0.1733075834601976,0.5806993562646541,0.3372117423661836,0.8784762987308975,True,1.5138702863967106,0.6317607201155067
8-20,8,19,8445,0.26915622053268834,0.35007482436648035,0.2918231944588195,0.18230811162253083,0.587905452214792,0.34563282074387897,0.8996746414805292,True,1.5310899135354226,0.7324092151772278
