stage,transition_year_start,transition_year_end,n,intercept,beta_1,beta_2,sigma_resid,var_resid,spectral_radius,is_stationary,implied_stationary_mean_log,implied_stationary_var_log
0,0,0,0,,,,,,,False,,
1-4,1,4,6004,0.6980911111056439,0.3883045581097531,0.2864025569880915,0.5942981098691443,0.3531902433940375,0.7634480408960254,True,2.146038673165637,0.5465973888356621
5-7,5,7,4061,0.4318077720996239,0.40467650086877405,0.32990389362846795,0.5911884876865484,0.3495038279731082,0.8113084149066021,True,1.626887250026965,0.6173325624626701
8-20,8,19,8939,0.3644797839719541,0.41615076454095407,0.35794412812878357,0.6011209278337517,0.3613463698797105,0.8415100614883019,True,1.6134198481803346,0.7146906265973592
