stage,transition_year_start,transition_year_end,n,intercept,beta_1,sigma_resid,var_resid,spectral_radius,is_stationary,implied_stationary_mean_log,implied_stationary_var_log
0,0,0,1451,1.020303471550196,0.47065563530502263,0.6362875420762529,0.40486183620143934,0.47065563530502263,True,1.927485281038408,0.520064913744803
1-4,1,4,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,0.5519703364005005,True,1.953141464412695,0.560005241683347
5-7,5,7,4292,0.7186865578929028,0.5869394104725477,0.6281908553523107,0.39462375074826767,0.5869394104725477,True,1.7399059027032604,0.6020174971680777
8-20,8,19,9545,0.6190496299172566,0.6332174627423998,0.6433899977348287,0.41395068918522293,0.6332174627423998,True,1.6877838147525632,0.6910284767269146
