ix,year_0,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20
0,0.9730635347528459,0.0,0.0,0.5197871587306342,1.5490869042696487,2.2647944860768705,1.6824646454923762,3.237663398826376,4.79553027806168,5.470696545078139,0.8801873953697266,0.7564285892722722,0.7482602473064777,0.39509266807521093,0.8037235192216285,0.04015739741888058,2.5954773341829664,2.4765210554759642,1.6693644431996935,0.35078153293719594,0.1855479216689132
1,10.094892882948345,3.766249706765281,1.7365109674838062,0.6003626542893008,3.541453336898254,2.985813551061879,2.4738964179906517,0.3586988984968852,1.9018787305009142,2.551588691120916,3.360979607957007,13.026364321066032,6.405457666070547,8.608723741638094,13.204780406001465,21.202676212461938,36.52102251313617,84.7668505628771,17.735514522102186,43.36847840895176,17.10174363184219
2,7.958473892279803,2.4044395480994467,2.3626677516108936,4.686396809693489,3.6263998603791405,3.295185406815282,2.043585588173939,4.49113233608162,3.8300208385613628,8.354119613500105,6.370899928630211,4.690871557297442,17.709602169971525,3.3429393698752126,9.830176849962907,11.631177022720001,19.553980559539493,4.451495932277349,5.23094617833102,0.2428292832657032,0.0
3,17.241050615039846,23.175960510615628,10.056726406675153,7.317731136211336,10.184196040788736,18.5826643501579,3.8777641281591784,1.1318983972479684,1.9074213814401262,3.134344357286645,2.174096166598468,0.9404740678026415,0.8731560368233506,1.6303696089229913,5.181280635528221,2.7478328410885524,3.7585720075994447,9.117854470453631,4.438965131043415,7.846487610484871,3.4179357258692242
4,3.550065677737642,5.842234375827247,4.723572587031754,0.768515846659553,6.5451425296291434,17.005733289164368,9.715944582438903,7.50920974482197,16.174109228594848,3.5111140172601107,8.567672698339884,3.058617524464812,9.954836722757305,25.899981882165694,10.922602942679037,9.745530871950299,7.961234861152141,13.487241269506734,7.427592625702349,2.5146364344639958,1.4153075040437795
5,5.465292385805367,23.984096323914997,1.2445816360054627,1.2519520220089895,2.884500939151283,3.8056817704561903,4.055539570092145,3.453822556545437,2.2395664397648787,0.5938904324620677,0.5222932347846767,2.001049682429577,18.677786688399024,22.242275364002744,4.4624964728662535,0.23245111538977137,0.8211736190439209,2.921982709738452,0.8711266527536834,2.3915254777921096,2.045511317774861
6,1.8961282039355687,0.4589260017499488,2.594673686080241,8.997601944494123,5.30843604325751,7.806190099225228,2.1661456356052975,3.868794493073615,5.509292727325779,15.903194144555533,8.051133062132664,19.612412419292674,9.639532953972852,4.478436367373627,3.5799521208019778,2.027494583287119,2.357364358290786,8.68830064182366,18.940158396765376,12.563230683156412,15.790773282595085
7,0.14402343106619145,8.502161283898474,5.02418785205554,7.894103470968949,13.116942337914328,2.140925320258315,2.4303364262361074,6.888714509160839,6.733599894462187,20.23939274420955,5.762698867238428,7.370652043595682,5.790805125161232,5.693278237235766,13.998203044541139,13.265812397611358,17.397570546182436,12.882447228097426,3.0838805352073626,2.324719273943674,1.3076871329600437
8,0.1737829849693587,3.8033569756983443,3.034893215930028,2.7662325328817117,4.222096158098246,14.142883514728318,1.3619071321394718,5.247907259339062,3.7255737518447347,3.974910512551366,5.0561602382046935,8.11539732786189,3.6946919443050943,11.94415361510812,9.150086629455085,0.7638928510632861,1.6061575760851101,1.562148067311189,4.337527904263599,7.106893147795755,5.585755152073495
9,4.2533822481627555,16.173786910262535,3.52893735554544,2.6053364574993543,3.4829882718479617,3.335931766883757,0.6892778170953406,2.612822305815146,5.467094767970123,4.152247709068781,4.65478595129712,0.45026105798714977,0.5681811170656474,1.501691200492177,0.6362713477827202,1.9160260745357618,1.8191332422082975,2.1201602833713444,3.7761324094799074,4.057072152504566,9.472424637313285
10,4.299195791722737,13.127833592428772,14.545112866188884,37.58200895152291,5.243100438806492,5.741926032446948,9.294433199034819,2.6870158274842773,8.919440060064295,12.419554279529308,10.741281366423507,5.693239330067993,11.204367618964774,9.013420292589212,2.5282865891101016,1.1150888847386105,5.846428459932159,3.6386583280220277,4.901200893019584,10.047370760347999,8.031501933045808
11,2.89842813220388,3.8686180770850376,0.1410899271415248,1.647214043565442,1.1017646602260571,1.646598149985565,8.615893482616666,7.068956277510587,8.470141312287932,3.730892564013719,0.0,1.801353196772679,1.8825173740356302,0.0,0.9185507597005105,0.8726472012976554,1.4826797092676385,1.7536858160785942,0.980530616191365,1.672710913567011,2.057823796552288
12,4.863931030595215,3.847093991309227,3.002813911567384,7.050391163029701,8.39478145884597,2.821780670449873,5.6064896282068135,4.552164138574051,63.45685879170658,20.024541916071616,27.70758010913938,3.003159360188671,1.0516048494031336,2.4156832895413594,1.5412212961020255,3.3724189290588713,5.073535905524255,4.535980515940401,1.3048060486302924,2.0609180477905946,0.6621542317077314
13,6.930864988209877,14.87272125480365,5.7293095251425425,3.075501386906473,10.13306977475685,2.599975809197126,4.853749365402215,6.971594136895287,8.580124503060343,10.486810468953774,13.696273519715735,26.083229815651826,24.981931806736164,4.665067239265254,0.22100019388473113,1.2885505068545178,2.6947274158547003,5.589323153385549,0.8942509787374353,11.573811573782516,9.016730114674823
14,0.7196928848457792,2.57038798756487,1.3699636557769845,14.717505071596555,2.0253150562736817,5.10533110003272,4.457016448665561,7.951196412635646,7.960584555806433,5.018083046619447,4.74318909476479,7.805623072030979,6.760642350194676,15.447300164646055,6.790573753651249,3.731035247211696,0.912386833507671,0.15064072269244122,0.7234541227889904,3.5922372129860403,1.1081509690633229
15,6.500792755668398,17.51940507994995,5.539373028212463,10.718706415044979,4.195142085762065,4.009927730551495,4.3328213246595375,5.1899039196647925,2.9575692588586104,2.3138764297414696,11.48671705708042,10.23603517580237,10.683448950402655,2.730329958350694,1.641715216042139,9.11964810672944,13.459926523200954,9.315694577245635,6.5903758937127375,17.162713212720405,7.313680965689307
16,1.584432782302662,9.615327431148236,4.552454969218095,8.340185719731407,26.015764844405506,5.622839824631572,5.328990754531439,1.0556705533250221,3.0802675059954536,8.852064449616183,10.119144243054189,3.434382956257312,5.800401752352166,1.8504520323940594,0.00040961164204494915,0.14496205707996712,2.2245516600629394,5.50414204752675,3.560313630633588,14.084869048546794,6.195614596763305
17,6.57781419967278,3.476527660877121,2.1607988049591498,2.3988514275226285,0.5170062673918892,2.035490968534183,2.3158831700546987,1.1441270718900314,0.9443600188865711,1.040669787613565,0.5534568592243245,0.5080097021721132,0.42582856169268624,2.0264446665670057,5.191047187559875,1.6542009732515395,0.4016040936382178,0.837773877976385,0.2555063980147868,0.0,7.549927042614936
