stage,transition_year_start,transition_year_end,n_from_0,p_00,p_01,n_from_1,p_10,p_11
0,0,0,357,0.27170868347338933,0.7282913165266106,1606,0.09651307596513076,0.9034869240348692
1-4,1,4,779,0.33889602053915274,0.6611039794608472,7047,0.0639988647651483,0.9360011352348517
5-7,5,7,498,0.3313253012048193,0.6686746987951807,4642,0.07539853511417492,0.9246014648858251
8-20,8,19,1629,0.4622467771639042,0.5377532228360957,10475,0.08878281622911695,0.911217183770883
