model,rho,max_lag,memory_half_life,cv_nll,terminal_rank_persistence,rank_persistence_rmse
SE-Hurdle-S,0.6696666666666666,,1.7286534819576687,1.0821122530597165,0.2030391600139893,0.03702220328875729
SE-Hurdle-T5,0.6533333333333333,5.0,1.628375826034139,1.0840739965575832,0.14220760893702364,0.06929238924751666
Hurdle-AR(5)-S,,,,1.3040587312811844,-0.0001379712461255274,0.24426812244461954
