model,stage,p_0_to_0,p_0_to_1,p_1_to_0,p_1_to_1,intercept,sigma,laplace_scale,positive_n,restart_scale,restart_n,x_lag1,x_lag2,x_lag3,x_lag4,x_lag5
Hurdle-AR(5)-S,0,0.4517543859649123,0.5482456140350878,0.15702479338842976,0.8429752066115702,0.86074971824366,0.5800645335268945,0.4889461455368178,306,5.900596826671169,125,0.520505069797045,0.0,0.0,0.0,0.0
Hurdle-AR(5)-S,1-4,0.4689922480620155,0.5310077519379846,0.11363636363636363,0.8863636363636364,0.7946975594407635,0.62092498084494,0.5039788520548053,1638,5.876196254864497,274,0.4067684584187951,0.1765179700505302,0.044151645254114635,-0.01106978925132514,-0.028551515740430335
Hurdle-AR(5)-S,5-7,0.4050179211469534,0.5949820788530465,0.1037483266398929,0.8962516733601071,0.35154342436994335,0.5944380861496231,0.4834861173691067,1339,4.958860724328836,166,0.37291327837273325,0.18604651728883004,0.07027143436330008,0.0911996642460062,0.04327584622840844
Hurdle-AR(5)-S,8-20,0.4806131650135257,0.5193868349864743,0.0977770349323082,0.9022229650676918,0.09474949813683158,0.5915352529911598,0.4685237277880821,5398,3.535714343644376,576,0.44771376524924544,0.19286108107111227,0.11263618081512188,0.0797075076324987,0.04846740500170071
