model,n,log_mu,log_sigma,qq_r
Empirical,591,6.715420519751353,1.2814842110232068,0.9637850293225068
SE-Hurdle-S,9995,6.739968364715815,1.229227569610101,0.9688928921488029
SE-Hurdle-T5,9994,6.753683370151141,1.1766295645088347,0.9729443088411447
Hurdle-AR(5)-S,10000,6.705726376018998,0.7405167097493751,0.9992511142242986
