model,year,mean,median,variance,zero_fraction,log_mean,log_median,log_variance
Empirical,0,4.011242049398463,2.9143644012641174,24.261698745767106,0.38578680203045684,0.8169055203820034,1.2250582558817409,1.6606774007904714
Empirical,1,5.29978039806597,4.04208312582216,28.436243036307282,0.2707275803722504,1.1750709007726292,1.5111816849706636,1.5679457662898233
Empirical,2,6.619211903495266,4.823918902036079,47.78865941640996,0.2182741116751269,1.3763116522388892,1.6703295860311196,1.5701497973848977
Empirical,3,7.171494083620039,5.549047000824661,45.689872924326075,0.1844331641285956,1.5139927017678527,1.7982462181775212,1.4615315151635104
Empirical,4,7.661080674424587,6.1309007630139,51.09700112167396,0.1996615905245347,1.536927493559318,1.8902314276131817,1.6115557258234317
Empirical,5,7.565515663211702,5.828728802528235,51.5120479138512,0.16243654822335024,1.582660208239381,1.8435180490871674,1.4002377628752547
Empirical,6,7.198262473535465,5.549047000824661,43.83261033988266,0.14890016920473773,1.5731235513334543,1.7982462181775212,1.2829834825542505
Empirical,7,7.098218568454508,5.20913670201103,53.747659347986016,0.16074450084602368,1.512688825738097,1.74031470758238,1.3602469924047356
Empirical,8,6.864746427449964,5.048483260875706,45.05325368900556,0.14382402707275804,1.5247883436850926,1.7117206836493852,1.2429574639006014
Empirical,9,7.113879907402587,5.048483260875706,48.98777653971164,0.16074450084602368,1.5157245143601967,1.7117206836493852,1.3725905605432411
Empirical,10,7.046144969109745,5.62547922309496,44.75831277815106,0.155668358714044,1.518809635872598,1.8108231345222845,1.3494308629727598
Empirical,11,7.052060817402822,5.411175082295543,48.97243617593551,0.16243654822335024,1.5040615711611145,1.7751514975714313,1.3779393596021705
Empirical,12,6.96854903903422,5.0184284035381586,50.09948414908222,0.14213197969543148,1.512398368687185,1.706279356261969,1.2807182369323957
Empirical,13,6.913973631999157,4.838203507789982,60.38573588509877,0.17597292724196278,1.4363760911956962,1.6730141284151712,1.453155132656859
Empirical,14,6.967563978324849,5.0184284035381586,52.91957153848287,0.15905245346869712,1.4722043878599966,1.706279356261969,1.3882510436749287
Empirical,15,7.150804371550132,5.0184284035381586,58.36769281818614,0.1455160744500846,1.5063426338830228,1.706279356261969,1.344316922406292
Empirical,16,7.091801042233709,5.084821644986893,50.72785519957861,0.14382402707275804,1.5287639814825067,1.7182603249038275,1.3098183994244645
Empirical,17,6.756788559103909,5.084821644986893,51.710206317569124,0.18104906937394247,1.423867433339018,1.7182603249038275,1.4587555551156595
Empirical,18,6.898688410640174,4.775004461937235,55.99097347405879,0.14890016920473773,1.470220404026433,1.6610819930570395,1.3353440759637563
Empirical,19,6.582380598981917,4.775004461937235,48.76544804760164,0.15736040609137056,1.4175885978499514,1.6610819930570395,1.3593192668727798
Empirical,20,6.547802636390854,4.493036099511478,52.3896574541667,0.15905245346869712,1.390287028273233,1.6060393638067363,1.3874300597959026
SE-Hurdle-S,0,4.033893425428909,2.9143644012641174,23.66694217631816,0.3803,0.8297593446818348,1.2250582558817409,1.652246548909819
SE-Hurdle-S,1,5.370107511288094,4.351315526881274,32.973235881963596,0.2719,1.1781135591712855,1.5771864867448728,1.5800942495150665
SE-Hurdle-S,2,6.27630540310873,4.813135129202589,46.88106193824739,0.2371,1.3164928723557094,1.6682981719270984,1.5995694162710492
SE-Hurdle-S,3,6.982660028334404,5.366340946116716,53.086335018679115,0.2057,1.4480065564688076,1.7675249966265838,1.5470356498388107
SE-Hurdle-S,4,7.41854601977907,5.7093010538536255,56.93642058666503,0.1801,1.5384118382441947,1.8244365517454533,1.4661627933592927
SE-Hurdle-S,5,7.8404484064257804,6.1550811913156815,58.70638047701782,0.1627,1.6167107741393913,1.893876893045118,1.410485152361236
SE-Hurdle-S,6,7.074332072985271,5.375230645191596,50.7789976403478,0.1531,1.5399216343460098,1.7690418069284672,1.2973721378172558
SE-Hurdle-S,7,6.902642094372296,5.31188594315733,45.452826092419436,0.1516,1.5287504023588911,1.7581830273113344,1.2713556444489233
SE-Hurdle-S,8,6.99990885481187,5.336851527039036,48.43821449832361,0.1483,1.5411195266142992,1.7624768076490263,1.2653128404568854
SE-Hurdle-S,9,6.873657888403621,5.088286136445002,51.77205816096944,0.1413,1.5186903474948044,1.718881569312446,1.2386979908305453
SE-Hurdle-S,10,6.875780079390425,5.002387575736851,53.51391664983886,0.1426,1.5075264861474813,1.7033630536942566,1.2584512021608767
SE-Hurdle-S,11,6.838528113114617,4.928741565980479,52.9971969780999,0.1459,1.495191165110335,1.689863539391216,1.2736695139733616
SE-Hurdle-S,12,6.8555876926531125,4.826460522765397,55.88522317247805,0.1512,1.4789109741735955,1.6708077621885011,1.3117689114410873
SE-Hurdle-S,13,6.904078226141689,4.873536795426516,62.9699566951002,0.1545,1.4745272697036726,1.679623607232414,1.331960652063888
SE-Hurdle-S,14,6.9739587943733214,4.8452760820664915,60.70438977698827,0.1622,1.4675181752145532,1.6743406285146283,1.3840391760039095
SE-Hurdle-S,15,6.881622205506581,4.842434339008505,60.31278853842598,0.162,1.4602076845387015,1.6738078516562183,1.372210291158362
SE-Hurdle-S,16,6.865426538329451,4.8345144496472345,60.93215958146295,0.1701,1.4444731759159302,1.672321524176048,1.4052127222852675
SE-Hurdle-S,17,6.862846681208142,4.730575066185004,64.21885632091193,0.1697,1.4434666326311187,1.6526075516230687,1.4016754317380355
SE-Hurdle-S,18,6.836464518535173,4.764887079459994,62.159315189399905,0.1723,1.4330411537787586,1.6591585155354132,1.417413817360576
SE-Hurdle-S,19,6.824008007301546,4.698956676181533,62.29950428196414,0.1736,1.4287302058817013,1.6465326511592524,1.4228561445162287
SE-Hurdle-S,20,6.982630234163835,4.723252981232937,76.94083479244159,0.1757,1.432583926517862,1.651204033203285,1.4471392448443559
SE-Hurdle-T5,0,3.96551198602836,2.9143644012641174,24.30881380192474,0.391,0.801317523625345,1.2250582558817409,1.6622152088118896
SE-Hurdle-T5,1,5.180489229850281,4.2430387936532235,29.013114284680587,0.2796,1.146670890277557,1.5545674472162476,1.578445715866675
SE-Hurdle-T5,2,6.257509573871172,4.734106754895343,47.938776430620386,0.2442,1.300919242133273,1.6532837997569612,1.6287981222074561
SE-Hurdle-T5,3,6.902777269140727,5.284989969022904,52.38990580773755,0.2113,1.4287745276690884,1.7535364518068128,1.5662355906249583
SE-Hurdle-T5,4,7.503108632550319,5.7518841764017274,56.819009400713675,0.1769,1.5497882824437683,1.831282087077295,1.4630172647465254
SE-Hurdle-T5,5,7.762930312388012,5.973710051705852,59.779810180030495,0.1672,1.5965082712435825,1.8662034638676692,1.4310541113009487
SE-Hurdle-T5,6,6.864632125546493,5.24441122047123,45.613497052304815,0.1593,1.511261714647148,1.7464850741189075,1.3063748592027975
SE-Hurdle-T5,7,6.852633750172018,5.263082607940181,48.299338744529,0.153,1.5176610136215876,1.7497358164832288,1.271472760058861
SE-Hurdle-T5,8,6.9157414487460755,5.297228749232051,48.821801712533436,0.1536,1.5208928987131198,1.7556535498047408,1.286040600836662
SE-Hurdle-T5,9,6.844394933608806,5.043715757914842,50.65347244095929,0.1413,1.5135116544873572,1.7108595165209044,1.2392279785653062
SE-Hurdle-T5,10,6.955345365980177,4.961403664404642,59.679100390939496,0.1491,1.4990996483522356,1.6958730541080262,1.3005654164904161
SE-Hurdle-T5,11,6.923770839199201,4.934330919546161,58.34572456117542,0.1496,1.4924524236774233,1.6908945502619273,1.30343999140333
SE-Hurdle-T5,12,6.818912621515808,4.9256664738556255,52.57000008700553,0.1577,1.4726261715297797,1.6892959520311344,1.3371039678798349
SE-Hurdle-T5,13,6.9063971627968614,4.943353417358567,58.17872942539558,0.1557,1.4814583995427342,1.6925565143002537,1.3307986098069324
SE-Hurdle-T5,14,6.831660547504401,4.789751055081463,60.69597212798163,0.162,1.4556542825856422,1.663878943827942,1.356807443364437
SE-Hurdle-T5,15,6.8327649976149285,4.798815105382877,59.931636308786,0.1597,1.4586379104535454,1.665594233086908,1.351149833891392
SE-Hurdle-T5,16,6.895213942888073,4.811338396762627,65.80733656735632,0.1659,1.452353628560201,1.6679592910631138,1.3894880547639923
SE-Hurdle-T5,17,6.8624168638641425,4.689061599735426,63.382761817015194,0.1642,1.4458243137397544,1.644623881461076,1.3808935062911416
