model,year,annual_qq_r,annual_positive_n,max_share_mean,max_share_median,max_share_90
Empirical,15,0.99020302748396,505,0.1502831022294102,0.12449147204526505,0.2178817666046302
SE-Hurdle-S,15,0.9998476463434934,8380,0.16361385936151246,0.1414360150469479,0.24366723876726096
SE-Hurdle-T5,15,0.999810364962521,8403,0.16248432821913794,0.1420793842718162,0.24053279740245948
Hurdle-AR(5)-S,15,0.9902378637826613,8456,0.16982186276643482,0.15690055168376205,0.24387516410803842
