model,cv_nll,mean_nrmse,median_nrmse,variance_nrmse,zero_fraction_rmse,log_mean_nrmse,log_variance_nrmse,annual_ks_mean,cumulative_ks,cum5_ks,zero_years_ks,year_max_tv,rank_persistence_rmse,dropout_rmse,restart_rmse,increment_ks,gini_abs_error,top1_abs_error,mean_diagnostic_rank
SE-Hurdle-S,1.0821122530597165,0.030431709432749074,0.05341224960883856,0.17940664538509407,0.015270743729874543,0.02466941593301637,0.05333111369936954,0.05702189187011521,0.06342115059221658,0.033773434856175975,0.034017597292724196,0.08055110465554266,0.038694746736149144,0.016003409547185047,0.04092035318973031,0.05668779187817258,0.02203324885223784,0.006092110839874411,1.5
SE-Hurdle-T5,1.0840739965575832,0.028934919493230047,0.053116062324983615,0.17287939383942355,0.01654791799751693,0.02777652021301827,0.053198873050458804,0.05722258480380308,0.056421150592216585,0.038548730964467,0.039943485617597294,0.08080838350726172,0.07322232014200095,0.01776262026789606,0.04214585695043542,0.05600898477157362,0.02841898614216326,0.007139145439626002,1.8333333333333333
Hurdle-AR(5)-S,1.3040587312811844,0.18267049513076244,0.22217881243597257,0.21585851657571442,0.011781724252376936,0.1220304638789201,0.10402621025925436,0.1201683103698332,0.13540490693739424,0.0573844331641286,0.22222774957698815,0.07732571912013536,0.24453284449313564,0.013850216290017519,0.04315395270238098,0.08263398477157363,0.10665168248185664,0.008270863345898015,2.6666666666666665
