model,transition_year,target_year,raw_delta_mean,raw_delta_variance,log_delta_mean,log_delta_variance
Empirical,0,1,1.2885383486675055,24.251117204784435,0.35816538039062595,1.892562897696997
Empirical,1,2,1.3194315054292973,30.75999602765272,0.20124075146625992,1.4850935635636584
Empirical,2,3,0.552282180124773,37.050817112441976,0.1376810495289634,1.5917381646605762
Empirical,3,4,0.48958659080454947,42.17960070775188,0.02293479179146545,1.5321863049003712
Empirical,4,5,-0.09556501121288687,43.72588806324544,0.045732714680062896,1.5279263397472564
Empirical,5,6,-0.367253189676237,34.24577628022504,-0.009536656905926819,1.2911340488860594
Empirical,6,7,-0.10004390508095805,38.237701530565644,-0.06043472559535712,1.3291255187979243
Empirical,7,8,-0.2334721410045442,33.00181951286589,0.012099517946995734,1.231088768499282
Empirical,8,9,0.24913347995262236,32.10452715286513,-0.009063829324896105,1.086263189535099
Empirical,9,10,-0.06773493829283948,30.615288183174545,0.0030851215124011824,1.167995665186934
Empirical,10,11,0.005915848293076802,32.04872110808505,-0.014748064711483384,1.1095449303506977
Empirical,11,12,-0.08351177836860256,25.094586705077916,0.008336797526070503,0.9494861355641839
Empirical,12,13,-0.05457540703506278,29.362900224384802,-0.0760222774914888,0.9881435446292884
Empirical,13,14,0.05359034632569188,23.48795235898266,0.03582829666430037,0.9795982591511724
Empirical,14,15,0.18324039322528218,26.513806537018827,0.034138246023026106,1.0907553756125827
Empirical,15,16,-0.059003329316421625,21.747520045812184,0.02242134759948427,0.8793335633345869
Empirical,16,17,-0.33501248312979953,24.44553865995312,-0.1048965481434889,0.9411773033075985
Empirical,17,18,0.14189985153626417,26.81532836114228,0.046352970687414966,0.8724397446166585
Empirical,18,19,-0.31630781165825705,20.94006856686313,-0.052631806176481714,0.8047576217922545
Empirical,19,20,-0.034577962591063834,20.91346005168868,-0.027301569576718383,0.7401495227309594
SE-Hurdle-S,0,1,1.3362140858592297,31.571375702688943,0.3483542144894441,1.892098181347024
SE-Hurdle-S,1,2,0.9061978918206267,42.88818259588396,0.1383793131844253,1.7224785678287238
SE-Hurdle-S,2,3,0.7063546252257064,53.44224028283266,0.13151368411310269,1.5306509798272283
SE-Hurdle-S,3,4,0.4358859914446816,57.21052169393457,0.09040528177538873,1.5057665206555795
SE-Hurdle-S,4,5,0.42190238664672786,64.37691166415169,0.07829893589519318,1.4638052669938837
SE-Hurdle-S,5,6,-0.7661163334405874,56.16201639085368,-0.07678913979337981,1.3280472029080896
SE-Hurdle-S,6,7,-0.171689978612906,47.58074339174513,-0.011171231987120835,1.247161551085533
SE-Hurdle-S,7,8,0.0972667604395447,45.89576031932935,0.012369124255402172,1.266525888275761
SE-Hurdle-S,8,9,-0.12625096640827205,44.62629726380804,-0.022429179119486067,1.0316985893706565
SE-Hurdle-S,9,10,0.0021221909868228673,43.43538754200893,-0.01116386134732681,0.9460858297741763
SE-Hurdle-S,10,11,-0.03725196627579485,44.095879201022704,-0.012335321037149915,0.9546595048490158
SE-Hurdle-S,11,12,0.017059579538470697,44.13341804950077,-0.016280190936732573,0.9462393807698494
SE-Hurdle-S,12,13,0.04849053348857073,48.5338150774669,-0.004383704469925046,0.9283322667524271
SE-Hurdle-S,13,14,0.06988056823165863,48.47832546415506,-0.007009094489117345,0.9574914819363137
SE-Hurdle-S,14,15,-0.09233658886674541,45.10691084660644,-0.007310490675855284,0.9425173637396287
SE-Hurdle-S,15,16,-0.016195667177124354,45.64268369504905,-0.015734508622771308,0.9575013144391532
SE-Hurdle-S,16,17,-0.002579857121294504,50.13581082357448,-0.0010065432848072316,0.9772638182030081
SE-Hurdle-S,17,18,-0.026382162672977917,49.691679903364935,-0.010425478852362087,0.9513267890145666
SE-Hurdle-S,18,19,-0.012456511233666583,47.710779097768736,-0.0043109478970614415,0.9678652423673322
SE-Hurdle-S,19,20,0.15862222686230462,50.801744761764965,0.0038537206361651437,0.9653779337867192
SE-Hurdle-T5,0,1,1.2149772438219737,28.16395760929775,0.3453533666522129,1.9028452027357998
SE-Hurdle-T5,1,2,1.0770203440209039,42.90133316483437,0.1542483518557165,1.6980701671274827
