model,stage,equation,low,median,high
SE-Hurdle-S,0,activity,0.0,0.0,0.0
SE-Hurdle-S,0,positive,0.0,0.0,0.0
SE-Hurdle-S,1-4,activity,0.6446072726407278,0.8051701982938275,0.9805955524814011
SE-Hurdle-S,1-4,positive,0.19415672853390323,0.23467496069718347,0.27615495436202075
SE-Hurdle-S,5-7,activity,1.037094743182556,1.277914176558602,1.5076952602338356
SE-Hurdle-S,5-7,positive,0.33325896867172666,0.38343485330267263,0.4386290016028927
SE-Hurdle-S,8-20,activity,1.3777602591577465,1.5291831280466774,1.67343536504832
SE-Hurdle-S,8-20,positive,0.42965936272932853,0.4658678879361152,0.5011610140746557
SE-Hurdle-T5,0,activity,0.0,0.0,0.0
SE-Hurdle-T5,0,positive,0.0,0.0,0.0
SE-Hurdle-T5,1-4,activity,0.6430148315362201,0.8039553111176653,0.9797104761094042
SE-Hurdle-T5,1-4,positive,0.1942723106397756,0.2344187722715136,0.27571568587369794
SE-Hurdle-T5,5-7,activity,1.012035008658388,1.2391042877954401,1.4626959543043951
SE-Hurdle-T5,5-7,positive,0.32464280736843304,0.3746766779674597,0.42947229039544316
SE-Hurdle-T5,8-20,activity,1.2707866859977273,1.4200526191454905,1.5605346190603429
SE-Hurdle-T5,8-20,positive,0.406326102791201,0.44069516806167597,0.47488892053675524
