rho,mean_nll,se_nll,model,max_lag
0.0,1.1080494022340002,0.008655862653149859,SE-Hurdle-S,
0.008166666666666666,1.1076038881808974,0.00867062920729955,SE-Hurdle-S,
0.01633333333333333,1.1071593279043246,0.0086857679288192,SE-Hurdle-S,
0.024499999999999997,1.106715786458001,0.008701285026938057,SE-Hurdle-S,
0.03266666666666666,1.106273258429844,0.008717158070083253,SE-Hurdle-S,
0.04083333333333333,1.1058318328821648,0.008733408798071206,SE-Hurdle-S,
0.048999999999999995,1.1053914769860733,0.00875003687192346,SE-Hurdle-S,
0.05716666666666666,1.1049522976495656,0.00876702893302635,SE-Hurdle-S,
0.06533333333333333,1.1045142835935942,0.008784404836363545,SE-Hurdle-S,
0.0735,1.1040775415268456,0.008802151083497299,SE-Hurdle-S,
0.08166666666666667,1.103642148639869,0.008820359833623427,SE-Hurdle-S,
0.08983333333333332,1.1032080604223897,0.008838883110668787,SE-Hurdle-S,
0.09799999999999999,1.102775390871802,0.008857782992122807,SE-Hurdle-S,
0.10616666666666666,1.1023441101312499,0.008877071951252381,SE-Hurdle-S,
0.11433333333333331,1.101914347732205,0.008896752580321295,SE-Hurdle-S,
0.12249999999999998,1.1014861296499372,0.008916813420791935,SE-Hurdle-S,
0.13066666666666665,1.1010595371775596,0.008937262163569947,SE-Hurdle-S,
0.1388333333333333,1.1006346229219335,0.008958095905067548,SE-Hurdle-S,
0.147,1.1002113949558936,0.008979336824640423,SE-Hurdle-S,
0.15516666666666665,1.0997899871426524,0.009000855984897034,SE-Hurdle-S,
0.16333333333333333,1.0993705419017668,0.009022836438729356,SE-Hurdle-S,
0.17149999999999999,1.098952982284898,0.009045259070560275,SE-Hurdle-S,
0.17966666666666664,1.0985374658330382,0.009068042633139943,SE-Hurdle-S,
0.18783333333333332,1.0981240219754471,0.009091190546346,SE-Hurdle-S,
0.19599999999999998,1.097712743958875,0.00911471308927194,SE-Hurdle-S,
0.20416666666666664,1.0973037021888055,0.009138620569744923,SE-Hurdle-S,
0.21233333333333332,1.0968970130027997,0.009162915078394325,SE-Hurdle-S,
0.22049999999999997,1.0964927372816158,0.009187574977160023,SE-Hurdle-S,
0.22866666666666663,1.0960909596624782,0.00921261883645624,SE-Hurdle-S,
0.2368333333333333,1.0956917636846615,0.009238003497214008,SE-Hurdle-S,
0.24499999999999997,1.09529528734469,0.009263788688615219,SE-Hurdle-S,
0.25316666666666665,1.0949016097611337,0.009289933602079062,SE-Hurdle-S,
0.2613333333333333,1.0945107483246832,0.00931636972108265,SE-Hurdle-S,
0.26949999999999996,1.0941229638211623,0.009343230787004228,SE-Hurdle-S,
0.2776666666666666,1.0937383316653189,0.009370482595121998,SE-Hurdle-S,
0.28583333333333333,1.093356855786464,0.009398005845588617,SE-Hurdle-S,
0.294,1.0929787389522105,0.009425888501932343,SE-Hurdle-S,
0.30216666666666664,1.0926042047212297,0.009454211699885699,SE-Hurdle-S,
0.3103333333333333,1.0922331487520804,0.009482758094791315,SE-Hurdle-S,
0.31849999999999995,1.091865742146901,0.009511605534544427,SE-Hurdle-S,
0.32666666666666666,1.091502162694747,0.0095407547705486,SE-Hurdle-S,
0.3348333333333333,1.0911425405680646,0.009570194536455868,SE-Hurdle-S,
0.34299999999999997,1.0907869674413613,0.009599913514359853,SE-Hurdle-S,
0.3511666666666666,1.0904356991135653,0.00962990160411459,SE-Hurdle-S,
0.3593333333333333,1.090088766950142,0.009660130336126425,SE-Hurdle-S,
0.36749999999999994,1.0897463836245287,0.009690619608440906,SE-Hurdle-S,
0.37566666666666665,1.0894087183170027,0.009721379907731639,SE-Hurdle-S,
0.3838333333333333,1.089075880629586,0.009752296070462362,SE-Hurdle-S,
0.39199999999999996,1.0887480221209431,0.009783424503601456,SE-Hurdle-S,
0.4001666666666666,1.0884253100189558,0.009814735099160542,SE-Hurdle-S,
0.40833333333333327,1.0881079371157916,0.009846207663590583,SE-Hurdle-S,
0.4165,1.0877960644809583,0.009877820717433608,SE-Hurdle-S,
0.42466666666666664,1.0874898417377072,0.009909588624341673,SE-Hurdle-S,
0.4328333333333333,1.0871895208321383,0.009941422070159474,SE-Hurdle-S,
0.44099999999999995,1.0868952302152812,0.00997330932370256,SE-Hurdle-S,
0.4491666666666666,1.0866072281299644,0.010005283274424355,SE-Hurdle-S,
0.45733333333333326,1.0863256651221271,0.01003729687172485,SE-Hurdle-S,
0.46549999999999997,1.0860507291517734,0.01006925751884001,SE-Hurdle-S,
0.4736666666666666,1.0857826733443006,0.010101208827635605,SE-Hurdle-S,
0.4818333333333333,1.0855217208660166,0.010133173250619151,SE-Hurdle-S,
0.48999999999999994,1.085268102183964,0.010165050446182912,SE-Hurdle-S,
0.4981666666666666,1.0850220146689264,0.010196828473095866,SE-Hurdle-S,
0.5063333333333333,1.084783699589814,0.010228474648412582,SE-Hurdle-S,
0.5145,1.0845534280525686,0.010259951692406817,SE-Hurdle-S,
0.5226666666666666,1.084331441664137,0.010291231732616042,SE-Hurdle-S,
0.5308333333333333,1.0841180038560227,0.010322282117140622,SE-Hurdle-S,
0.5389999999999999,1.0839133861003762,0.010353069466007734,SE-Hurdle-S,
0.5471666666666666,1.0837178887450116,0.010383554064193171,SE-Hurdle-S,
0.5553333333333332,1.0835317831908273,0.010413705944514398,SE-Hurdle-S,
0.5634999999999999,1.0833553982739605,0.010443481250394116,SE-Hurdle-S,
0.5716666666666667,1.0831890365938668,0.010472845554333405,SE-Hurdle-S,
0.5798333333333333,1.0830330322039647,0.010501758158011944,SE-Hurdle-S,
0.588,1.082887762713088,0.01053017964075778,SE-Hurdle-S,
0.5961666666666666,1.0827535372825463,0.010558060929016882,SE-Hurdle-S,
0.6043333333333333,1.0826307576944927,0.010585361270649673,SE-Hurdle-S,
0.6124999999999999,1.0825198197218524,0.010612034649947286,SE-Hurdle-S,
0.6206666666666666,1.0824211393574894,0.010638033554950407,SE-Hurdle-S,
0.6288333333333332,1.082335167710028,0.010663300197441446,SE-Hurdle-S,
0.6369999999999999,1.082262331263063,0.010687802428856742,SE-Hurdle-S,
0.6451666666666666,1.082203103265555,0.010711474645947449,SE-Hurdle-S,
0.6533333333333333,1.0821579977294065,0.010734267517053036,SE-Hurdle-S,
0.6615,1.0821275321092554,0.01075612526389312,SE-Hurdle-S,
0.6696666666666666,1.0821122530597165,0.010776989893066137,SE-Hurdle-S,
0.6778333333333333,1.082112767892823,0.010796788521556633,SE-Hurdle-S,
0.6859999999999999,1.082129609670274,0.01081548654108297,SE-Hurdle-S,
0.6941666666666666,1.0821634108583786,0.010833018270628153,SE-Hurdle-S,
0.7023333333333333,1.0822147399798188,0.010849329037895249,SE-Hurdle-S,
0.7104999999999999,1.0822843709974683,0.010864348464963008,SE-Hurdle-S,
0.7186666666666666,1.0823729808777014,0.010878002080542976,SE-Hurdle-S,
0.7268333333333332,1.0824812479275698,0.010890238234073828,SE-Hurdle-S,
0.7349999999999999,1.0826098460251712,0.010901013184599451,SE-Hurdle-S,
0.7431666666666666,1.0827596058922424,0.010910230132334364,SE-Hurdle-S,
0.7513333333333333,1.0829312171001297,0.01091784932481866,SE-Hurdle-S,
0.7595,1.083125420279353,0.010923814978552644,SE-Hurdle-S,
0.7676666666666666,1.0833429509172137,0.010928075103891113,SE-Hurdle-S,
0.7758333333333333,1.0835845426423283,0.01093059257036405,SE-Hurdle-S,
0.7839999999999999,1.0838508456431393,0.010931296153528931,SE-Hurdle-S,
0.7921666666666666,1.0841425899051322,0.010930177022608406,SE-Hurdle-S,
0.8003333333333332,1.0844603803337927,0.010927200207455358,SE-Hurdle-S,
0.8084999999999999,1.0848047808965589,0.010922345887938225,SE-Hurdle-S,
0.8166666666666665,1.0851762893341523,0.010915602432055924,SE-Hurdle-S,
0.8248333333333332,1.0855753220085576,0.0109069673968674,SE-Hurdle-S,
0.833,1.0860021887460756,0.010896451691332423,SE-Hurdle-S,
0.8411666666666666,1.0864570897184902,0.010884076032778753,SE-Hurdle-S,
0.8493333333333333,1.086940095728832,0.010869872885356829,SE-Hurdle-S,
0.8574999999999999,1.0874511440347105,0.010853883333689156,SE-Hurdle-S,
0.8656666666666666,1.0879900234140112,0.010836202709697278,SE-Hurdle-S,
0.8738333333333332,1.0885563166619898,0.010816836899163898,SE-Hurdle-S,
0.8819999999999999,1.0891494840664588,0.010795974298401349,SE-Hurdle-S,
0.8901666666666666,1.0897687072687305,0.010773559816210794,SE-Hurdle-S,
0.8983333333333332,1.0904130836918688,0.010749768944616796,SE-Hurdle-S,
0.9064999999999999,1.0910815148374389,0.010724702656563233,SE-Hurdle-S,
0.9146666666666665,1.0917727099234846,0.01069847150850583,SE-Hurdle-S,
0.9228333333333333,1.0924851602339736,0.010671204061743234,SE-Hurdle-S,
0.9309999999999999,1.0932172196199539,0.01064302890598937,SE-Hurdle-S,
0.9391666666666666,1.0939671539728815,0.010614044469323554,SE-Hurdle-S,
0.9473333333333332,1.0947330046654258,0.010584387193469652,SE-Hurdle-S,
0.9554999999999999,1.0955128137404508,0.010554157380044211,SE-Hurdle-S,
0.9636666666666666,1.0963044494513159,0.010523460831560843,SE-Hurdle-S,
0.9718333333333332,1.0971057554752828,0.010492426789325536,SE-Hurdle-S,
0.98,1.097914652197947,0.01046109773413142,SE-Hurdle-S,
0.0,1.1080494022340002,0.008655862653149859,SE-Hurdle-T5,5.0
0.008166666666666666,1.1076038881822718,0.008670629207234085,SE-Hurdle-T5,5.0
0.01633333333333333,1.1071593279483944,0.008685767926725554,SE-Hurdle-T5,5.0
0.024499999999999997,1.106715786793312,0.008701285011069879,SE-Hurdle-T5,5.0
0.03266666666666666,1.1062732598418576,0.008717158000255682,SE-Hurdle-T5,5.0
0.04083333333333333,1.1058318372090452,0.008733408594872346,SE-Hurdle-T5,5.0
0.048999999999999995,1.1053914877679727,0.008750036367435961,SE-Hurdle-T5,5.0
0.05716666666666666,1.104952320981892,0.00876702784508273,SE-Hurdle-T5,5.0
0.06533333333333333,1.1045143291353967,0.008784402719224704,SE-Hurdle-T5,5.0
0.0735,1.1040776236631709,0.008802147276782355,SE-Hurdle-T5,5.0
0.08166666666666667,1.1036422878077539,0.008820353395251392,SE-Hurdle-T5,5.0
