model,RMSE: raw delta mean,RMSE: raw delta variance,RMSE: log delta mean,RMSE: log delta variance
SE-Hurdle-S,0.250595257835331,19.21770390616486,0.0474897374817495,0.11564145585205596
SE-Hurdle-T5,0.21920645645119471,18.59929459613579,0.0514725060898197,0.11745326090061098
Hurdle-AR(5)-S,0.2945245728805802,15.336564170064733,0.05120630431251322,0.17526620756873182
