ix,year_0,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20
0,4.753994027620306,0.0,0.0,5.484177030421792,3.6725169828176356,2.9780643492133696,4.525954947816558,2.502369724558254,3.0762421731616962,6.330933123276924,3.0658471183187075,9.03817398736137,2.659484273547379,2.437280088210914,6.170940502672841,0.0,0.7433180275546845,2.2394801827525743,3.5609291325761827,4.801423247001875,4.172716359830237
1,0.0,0.0,1.1674877429914206,0.0,1.697976047962477,0.0,3.2745751629674755,6.776146548841622,7.30795474680403,14.413194043862479,9.839928101479144,17.52900842234213,6.83194623379472,8.108891557265187,2.363353733049933,4.66041142161417,4.528148452983068,1.2344216234259595,3.206142326080103,4.023292840135877,2.773920851519416
2,2.569725907357316,6.4878191075039116,5.72058701283819,5.213720869475853,3.0176200836343594,3.727456042050417,4.04015805245851,2.6046447879468886,8.331664617352514,5.252831134754085,4.489171169619941,13.652131120027125,17.40737939976357,32.75380248665659,30.08011169834618,13.95517003863303,18.786414297156096,9.205108200841499,9.885177604073252,7.467998891650595,8.150322447081708
3,6.904397236591358,8.268573967122958,12.111922869401301,5.242855670276008,4.5469338171045806,8.367175468928686,5.422700276205131,8.915736285825902,5.423460492587327,2.3884711493149986,7.539455817640618,5.259405403101022,13.75107326455382,8.435166045695972,0.0,0.0,2.2111215753882196,5.147040166865184,5.615287723114565,3.4326287610292434,0.0
4,7.9930108886854425,8.984202385054534,3.9965471952341702,4.463496679686485,0.0,3.459187113825875,2.245543251241368,1.478066807127162,4.220522144438034,0.0,0.44456652416849535,0.0,10.14006740622001,4.553606957306491,0.0,0.0,0.0,0.0,0.0,4.795064009068302,7.425505129912682
5,1.9357582378386486,3.479710342027249,1.3319229541762063,1.9062459999591168,2.4236783834474194,5.4458328025432206,5.112885705115798,2.3279066466285894,2.1124337441596612,1.5370212088670343,2.302084510513698,0.0,0.0,2.3538615950735178,0.0,0.7852936664513451,1.641280688770611,1.4997116480755333,2.0552135797530875,3.2172403109925205,6.877220007004878
6,0.5121762052277826,3.047621946748025,0.0,0.611083673922267,1.219453478628694,0.0,0.32574327855482765,0.9421140459762,0.4557312247284626,0.0,0.0,1.0831641743244595,3.468892679201321,1.8699059239016833,1.1013714171193008,1.5939338429512042,1.9139294167696685,0.5630002892897809,1.6126420080558623,1.5960670678255922,1.1153506128306376
7,0.714262093323857,2.372051694148778,0.8637354381760183,1.438069262772944,3.070931597793529,4.2074475279557495,9.571112630416248,5.630532279689287,4.951390890910655,7.2422292541533055,5.092732335505935,2.962244055214989,1.113270733108108,4.045807412649446,4.846206586705452,4.467014401834347,1.9470157170387972,0.0,0.10440517798929834,0.0,0.0
8,5.616780296034321,1.8087872413549941,14.299707430076142,6.373960726460999,3.1251127846577957,1.770884646513094,3.8838576911755736,2.012814981504479,4.3240314774245014,0.0,0.0,1.107973750808205,2.412515975424488,2.4503263335189494,0.0,3.5990044064393585,1.558928821599145,0.0,0.0,0.0,3.6577257652858566
9,0.0,1.8995908864568412,4.15892503571254,3.9283069703984856,8.959078165858994,6.208092613692998,4.559386437260591,7.3036316922440845,4.663565647711416,2.8678771086036488,2.548233700091476,2.310513420264831,0.9079064279657211,2.643965183434678,2.393795008129332,2.2063515629801884,5.159561280272145,1.5392380942141708,3.065889267338679,3.735865814678975,2.2355818353170456
