,stage,n,mean_log_productivity,var_log_productivity,sd_log_productivity
0,0,510,1.0599460852232132,1.4934491918653388,1.2220675889104247
1,1-4,2233,1.5245901296820927,1.3882941962762143,1.178258968256221
2,5-7,1728,1.615259284070166,1.246282326372205,1.1163701565216642
3,8-20,7625,1.495244746436385,1.3340359744142336,1.1550047508189019
