transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,2.2229377232546748,0.6817203577801199,86.41983223998723,0.24243911281202934,0.2314546426655485,1.1387973862948955
1,50000,1.0648625825922902,0.44701858830315466,124.39553275026047,0.13929320482509386,0.13392719476778756,0.9571221469461997
2,50000,0.6585565077806182,0.23646400042923488,154.8453150489612,0.06758805343214992,0.06541457631296477,0.9509579612144735
3,50000,0.41910731168245924,0.15329410211484862,196.3640891775187,0.04737028162144503,0.042251848522642854,0.9542827168821288
4,50000,0.17069775403952747,0.04715033586415146,205.6334391707238,0.019038569476000487,0.012410041224316881,0.9503365750876608
5,50000,-0.6447340364262533,-0.3237940076299006,171.44860989057406,-0.0866043169297044,-0.08833223930703482,0.8910573215221195
6,50000,-0.42058670899531964,-0.14592956411409508,155.2445158945718,-0.045667819048935965,-0.043522566595390166,0.8867566387608866
7,50000,-0.26270865234586344,-0.09096282204107586,147.98509341423463,-0.03289927173452659,-0.027733677651098465,0.8883922394103952
8,50000,-0.05339650879880258,-0.1929449078052361,147.31597082646553,-0.06146099622314728,-0.06313376419874145,0.832333800936018
9,50000,-0.16830620697721707,-0.12751549207266333,150.4033657071612,-0.041439353518905264,-0.04578807816293712,0.8413245464422481
10,50000,-0.15001696490216124,-0.06346319641786169,145.94146943022918,-0.02724928313044872,-0.022459951462085015,0.82764874644603
11,50000,-0.10622428911658063,-0.04096116128532323,147.71642949376664,-0.018559100824351953,-0.016505073274624305,0.836642353734439
12,50000,-0.10449357564898946,-0.003408876045831344,136.5423636169037,-0.0066249589128975295,-0.0015415940788420512,0.8381480036837433
13,50000,-0.09686945454630295,-0.03361985458673655,139.07629324716265,-0.015798805499218742,-0.01398669070867431,0.8390191910196182
14,50000,0.022069788236034612,0.0,135.79883701588238,0.0013465267896186298,0.0,0.8393600842134518
15,50000,0.05068389564499892,0.0,140.79233625693712,0.0015275461892813784,0.0,0.848351648539688
16,50000,-0.02290425126232999,-0.005636196872265908,144.37510152644387,-0.004905975369188978,-0.0024493719819932425,0.8455094616346339
17,50000,0.025180206971541712,0.004496721838959439,146.0649138246448,0.009127802206830926,0.0017471305011940164,0.8421551125022938
18,50000,-0.08626573325562219,-0.02084006676638328,147.47030369084115,-0.009572947817997376,-0.00767108328679994,0.8540054716716251
19,50000,-0.03340103494604896,-4.7648826650981135e-05,134.7448713157704,-0.004218237873050187,-7.579228704646113e-06,0.8451987803065725
