model,transition_year,target_year,raw_delta_mean,raw_delta_variance,log_delta_mean,log_delta_variance
Empirical,0,1,1.2885383486675055,24.251117204784435,0.35816538039062595,1.892562897696997
Empirical,1,2,1.3194315054292973,30.75999602765272,0.20124075146625992,1.4850935635636584
Empirical,2,3,0.552282180124773,37.050817112441976,0.1376810495289634,1.5917381646605762
Empirical,3,4,0.48958659080454947,42.17960070775188,0.02293479179146545,1.5321863049003712
Empirical,4,5,-0.09556501121288687,43.72588806324544,0.045732714680062896,1.5279263397472564
Empirical,5,6,-0.367253189676237,34.24577628022504,-0.009536656905926819,1.2911340488860594
Empirical,6,7,-0.10004390508095805,38.237701530565644,-0.06043472559535712,1.3291255187979243
Empirical,7,8,-0.2334721410045442,33.00181951286589,0.012099517946995734,1.231088768499282
Empirical,8,9,0.24913347995262236,32.10452715286513,-0.009063829324896105,1.086263189535099
Empirical,9,10,-0.06773493829283948,30.615288183174545,0.0030851215124011824,1.167995665186934
Empirical,10,11,0.005915848293076802,32.04872110808505,-0.014748064711483384,1.1095449303506977
Empirical,11,12,-0.08351177836860256,25.094586705077916,0.008336797526070503,0.9494861355641839
Empirical,12,13,-0.05457540703506278,29.362900224384802,-0.0760222774914888,0.9881435446292884
Empirical,13,14,0.05359034632569188,23.48795235898266,0.03582829666430037,0.9795982591511724
Empirical,14,15,0.18324039322528218,26.513806537018827,0.034138246023026106,1.0907553756125827
Empirical,15,16,-0.059003329316421625,21.747520045812184,0.02242134759948427,0.8793335633345869
Empirical,16,17,-0.33501248312979953,24.44553865995312,-0.1048965481434889,0.9411773033075985
Empirical,17,18,0.14189985153626417,26.81532836114228,0.046352970687414966,0.8724397446166585
Empirical,18,19,-0.31630781165825705,20.94006856686313,-0.052631806176481714,0.8047576217922545
Empirical,19,20,-0.034577962591063834,20.91346005168868,-0.027301569576718383,0.7401495227309594
ARW4,0,1,1.8493783249223628,26.715010037726817,0.3631458142573148,0.9357335571640523
ARW4,1,2,0.87328746703993,27.897640500631578,0.13653128725149485,0.7845747023824697
ARW4,2,3,0.5950040729651753,29.12284723193873,0.08277546601180746,0.7263860574212675
ARW4,3,4,0.3658695126309659,30.083558034697255,0.04536626139226868,0.6882142016599434
ARW4,4,5,0.27339444678708785,32.08349700358427,0.03558501241805958,0.685465896401415
ARW4,5,6,-0.486470753724495,28.420534130909154,-0.05079782010904732,0.6488425638599851
ARW4,6,7,-0.318506992179447,26.37811257792136,-0.030008179464024762,0.6537737753509951
ARW4,7,8,-0.1326345279500244,27.052570405769174,-0.01717295139896481,0.6578825853940167
ARW4,8,9,-0.3298679443673814,22.454858646769093,-0.04512967560534363,0.6096494281113316
ARW4,9,10,-0.15033235305526077,23.29761369225186,-0.01131503762950417,0.6460173412583278
ARW4,10,11,-0.2245035690590872,21.812105401163908,-0.03308327092820579,0.6294249941729902
ARW4,11,12,-0.05943686696386999,22.941461683863015,-0.014465290340093934,0.6745821241474069
ARW4,12,13,-0.020665182373984545,21.883474762545813,-0.0039880846509800436,0.6607448419825992
ARW4,13,14,0.022317474236311932,22.626104526931858,0.004762472921294021,0.6549794139516112
ARW4,14,15,-0.0324970822287775,20.232527614282315,-0.0004697292032733895,0.6207940194116812
ARW4,15,16,0.026729115629489486,19.873877693568364,0.004831551232351555,0.6263726503185906
ARW4,16,17,0.030182294509680394,20.44845635434257,0.009451426388634276,0.6138276751973102
ARW4,17,18,0.00893358940632111,20.933500880828056,-0.007914591007627385,0.6321187093316601
ARW4,18,19,-0.041980601330176844,19.397088455346765,-0.0014021152046287237,0.6194248376715914
ARW4,19,20,0.026381139363782505,19.338547448713012,0.01151352133124532,0.6024422009431438
Hurdle-AR(1)-S,0,1,1.0089604439501276,44.11444432425456,0.37780760940062835,1.9023631386217006
Hurdle-AR(1)-S,1,2,1.192742511886761,49.250801451637166,0.25557512543022126,1.6434896479744545
Hurdle-AR(1)-S,2,3,0.5967646827495713,60.071147457103585,0.11328447636258811,1.6053893050873596
Hurdle-AR(1)-S,3,4,0.3866481227087411,68.831356632539,0.06083300765244047,1.632750768793094
