model,year,annual_qq_r,annual_positive_n,max_share_mean,max_share_median,max_share_90
Empirical,15,0.99020302748396,505,0.1502831022294102,0.12449147204526505,0.2178817666046302
ARW4,15,0.9587616050600678,10000,0.12493039121479173,0.12022667790168698,0.1614606072109317
Hurdle-AR(1)-S,15,0.9902646102900421,8419,0.17959065848052186,0.16660313032021468,0.2579618683387232
SE-Hurdle-S,15,0.9999155236189843,8380,0.16230841462435436,0.14100170688478958,0.24351468157716677
GRW-Y,15,0.9920523375088515,8824,0.26946531858167366,0.245835475825463,0.4161293557948677
