model,sample,n,ad_n,beta,loc,scale,qq_r_ep,qq_r_laplace,delta_aic_ep_minus_laplace,delta_bic_ep_minus_laplace,lr_stat,lr_p,ad_stat,ad_p
Empirical,All transitions,11820,3000,0.7995385130518604,-0.060074971224287,2.646710356494901,0.994119641460973,0.9983982092567765,-89.90478809841443,-82.52723980745941,91.90478809841443,9.094869582806009e-22,12.364641990006021,0.005
SE-Hurdle-S,All transitions,200000,3000,0.5645107718428897,-1.0375128108179078e-14,1.1588115953132596,0.9968366247722806,0.9785981372509993,-15372.696983299917,-15362.490910654422,15374.696983299917,0.0,13.949269393559462,0.005
Empirical,Nonzero transitions,10829,3000,1.1974780975315988,-0.10207884293906022,5.262289042825431,0.9982388319437789,0.9974715085404684,-78.53465858932759,-71.24467558971082,80.53465858932759,2.856505482243207e-19,3.988231508503759,0.005
SE-Hurdle-S,Nonzero transitions,181799,3000,0.8957963519683951,0.015085157868394934,3.964405074311758,0.988020287720908,0.9826114086083539,-894.4873088828754,-884.3766519227065,896.4873088828754,5.694285262170422e-197,3.070971509539959,0.005
