model,stage,zero_run,restart_probability,n,se,low,high
GRW-Y,5-7,1,0.4821917808219178,1825,0.011696688849570811,0.459266270676759,0.5051172909670766
GRW-Y,5-7,2,0.48963133640552997,868,0.016967456340652946,0.4563751219778502,0.5228875508332097
GRW-Y,5-7,3,0.5196078431372549,408,0.024734647272695615,0.4711279344827715,0.5680877517917383
GRW-Y,5-7,4,0.4147727272727273,176,0.03713736111808668,0.3419834994812774,0.4875619550641772
GRW-Y,5-7,5,0.45544554455445546,101,0.049553941056760975,0.35831982008320395,0.552571269025707
GRW-Y,5-7,6,0.475,40,0.07895805848676878,0.3202422053659332,0.6297577946340668
GRW-Y,8-20,1,0.4909620991253644,6860,0.006035829806258104,0.47913187270509855,0.5027923255456304
GRW-Y,8-20,2,0.4911042078508896,3541,0.008401141395840563,0.4746379707150421,0.5075704449867371
GRW-Y,8-20,3,0.47804878048780486,1845,0.01162928142359746,0.45525538889755385,0.5008421720780559
GRW-Y,8-20,4,0.48795811518324606,955,0.016174927045646915,0.4562552581737781,0.519660972192714
GRW-Y,8-20,5,0.5094339622641509,477,0.022889351948278406,0.4645708324455253,0.5542970920827767
GRW-Y,8-20,6,0.4957805907172996,474,0.02296494285625242,0.4507693027190448,0.5407918787155543
Hurdle-AR(1)-S,0,1,0.5404842488935173,3841,0.008041176017196004,0.5247235438998131,0.5562449538872215
Hurdle-AR(1)-S,1-4,1,0.537628436545404,3601,0.008308547620098384,0.5213436832100112,0.5539131898807969
Hurdle-AR(1)-S,1-4,2,0.5267708679747256,3007,0.009104998876004973,0.5089250701777559,0.5446166657716953
Hurdle-AR(1)-S,1-4,3,0.5450081833060556,1222,0.014245172135204645,0.5170876459210545,0.5729287206910567
Hurdle-AR(1)-S,1-4,4,0.5462184873949579,476,0.02281934216709395,0.5014925767474538,0.590944398042462
Hurdle-AR(1)-S,1-4,5,0.4909090909090909,165,0.038918512800691404,0.41462880581973577,0.5671893759984461
Hurdle-AR(1)-S,5-7,1,0.5927313600599475,2669,0.009510320454762756,0.5740911319686125,0.6113715881512826
Hurdle-AR(1)-S,5-7,2,0.5601769911504425,1130,0.01476598368219081,0.5312356631333485,0.5891183191675365
Hurdle-AR(1)-S,5-7,3,0.5888689407540395,557,0.02084835868621067,0.5480061577290666,0.6297317237790124
Hurdle-AR(1)-S,5-7,4,0.6007905138339921,253,0.030789433555367573,0.5404432240654716,0.6611378036025125
Hurdle-AR(1)-S,5-7,5,0.635593220338983,118,0.04430388881792107,0.5487575982558577,0.7224288424221084
Hurdle-AR(1)-S,5-7,6,0.6390532544378699,169,0.0369442401232645,0.5666425437962714,0.7114639650794683
Hurdle-AR(1)-S,8-20,1,0.5191273465246068,9855,0.005032962323811887,0.5092627403699355,0.5289919526792781
Hurdle-AR(1)-S,8-20,2,0.5295234078447912,4742,0.007248210826356015,0.5153169146251334,0.5437299010644491
Hurdle-AR(1)-S,8-20,3,0.5333943275388838,2186,0.010670238446841505,0.5124806601830745,0.5543079948946932
Hurdle-AR(1)-S,8-20,4,0.5373737373737374,990,0.0158465878733243,0.5063144251420217,0.568433049605453
Hurdle-AR(1)-S,8-20,5,0.49333333333333335,450,0.023568130815222847,0.44713979693549655,0.5395268697311701
Hurdle-AR(1)-S,8-20,6,0.5366492146596858,382,0.025513410654131617,0.4866429297775879,0.5866554995417839
Hurdle-AR(1)-S-P,0,1,0.7347826086956522,1840,0.010291330423089565,0.7146116010663967,0.7549536163249077
Hurdle-AR(1)-S-P,1-4,1,0.6582386363636363,3520,0.007994325650283301,0.642569758089081,0.6739075146381917
Hurdle-AR(1)-S-P,1-4,2,0.6652977412731006,1461,0.012345601037456678,0.6411003632396856,0.6894951193065156
Hurdle-AR(1)-S-P,1-4,3,0.6717171717171717,396,0.02359770217249673,0.6254656754590782,0.7179686679752653
Hurdle-AR(1)-S-P,1-4,4,0.6701030927835051,97,0.04773908228676304,0.5765344915014495,0.7636716940655607
Hurdle-AR(1)-S-P,1-4,5,0.5625,16,0.12401959270615269,0.31942159829594075,0.8055784017040593
Hurdle-AR(1)-S-P,5-7,1,0.6713286713286714,2145,0.010142262805518373,0.6514498362298553,0.6912075064274874
Hurdle-AR(1)-S-P,5-7,2,0.675,680,0.017961355575725542,0.6397957430715779,0.7102042569284222
Hurdle-AR(1)-S-P,5-7,3,0.6978723404255319,235,0.0299536192459966,0.6391632467033785,0.7565814341476853
Hurdle-AR(1)-S-P,5-7,4,0.5921052631578947,76,0.05637242472804073,0.4816153106909349,0.7025952156248545
Hurdle-AR(1)-S-P,5-7,5,0.717948717948718,39,0.07205737677223015,0.5767162594751469,0.859181176422289
Hurdle-AR(1)-S-P,5-7,6,0.75,16,0.10825317547305482,0.5378237760728125,0.9621762239271875
Hurdle-AR(1)-S-P,8-20,1,0.5334796926454446,10021,0.004983548527965032,0.5237119375306332,0.543247447760256
Hurdle-AR(1)-S-P,8-20,2,0.5464782512695959,4529,0.0073974892078042635,0.5319791724222995,0.5609773301168923
Hurdle-AR(1)-S-P,8-20,3,0.5261522527187985,1931,0.011362764096461034,0.5038812350897349,0.5484232703478621
Hurdle-AR(1)-S-P,8-20,4,0.5581127733026467,869,0.01684638869145847,0.5250938514673882,0.5911316951379053
Hurdle-AR(1)-S-P,8-20,5,0.49162011173184356,358,0.026422109492529783,0.43983277712648516,0.543407446337202
Hurdle-AR(1)-S-P,8-20,6,0.5083612040133779,299,0.028911703331406004,0.45169426548382213,0.5650281425429337
SE-Hurdle-S,0,1,0.5432225063938619,3910,0.007966230114399044,0.5276086953696398,0.558836317418084
SE-Hurdle-S,1-4,1,0.6611374407582938,3798,0.007680335455449363,0.6460839832656131,0.6761908982509746
SE-Hurdle-S,1-4,2,0.4400715563506261,2795,0.009389381999163334,0.421668367632266,0.4584747450689862
SE-Hurdle-S,1-4,3,0.39872068230277186,1407,0.013053454689181664,0.3731359111119758,0.4243054534935679
SE-Hurdle-S,1-4,4,0.4509283819628647,754,0.01812101877260361,0.4154111851685616,0.4864455787571678
SE-Hurdle-S,1-4,5,0.3524804177545692,383,0.02441150548698996,0.30463386700006884,0.4003269685090695
SE-Hurdle-S,5-7,1,0.6955030487804879,2624,0.008983779376704672,0.6778948412021467,0.713111256358829
SE-Hurdle-S,5-7,2,0.5562422744128553,809,0.01746749786156333,0.5220059786041912,0.5904785702215195
SE-Hurdle-S,5-7,3,0.4713541666666667,384,0.02547360849531328,0.4214258940158527,0.5212824393174808
SE-Hurdle-S,5-7,4,0.379746835443038,237,0.03152516752375785,0.31795750709647264,0.44153616378960336
SE-Hurdle-S,5-7,5,0.3877551020408163,147,0.04018673105565662,0.30898910917172934,0.4665210949099033
SE-Hurdle-S,5-7,6,0.33277310924369746,595,0.019317565786417575,0.29491068030231904,0.3706355381850759
SE-Hurdle-S,8-20,1,0.6351935646053293,9945,0.004827051101009302,0.625732544447351,0.6446545847633075
SE-Hurdle-S,8-20,2,0.4488078541374474,3565,0.008330133612575638,0.43248079225679914,0.46513491601809565
SE-Hurdle-S,8-20,3,0.36387298282144714,1921,0.010976986839757211,0.342358088615523,0.38538787702737126
SE-Hurdle-S,8-20,4,0.3201716738197425,1165,0.013668728543750978,0.29338096587399054,0.34696238176549443
SE-Hurdle-S,8-20,5,0.27956989247311825,744,0.016453362228530548,0.24732130250519838,0.3118184824410381
SE-Hurdle-S,8-20,6,0.26063829787234044,1880,0.010124385338698964,0.24079450260849047,0.28048209313619044
