target,horizon,n,mae_base,mae_history,mae_pct_gain,mae_pct_low,mae_pct_high,rho_base,rho_history,rho_gain,rho_gain_low,rho_gain_high,mae_ci_excludes_zero,rho_ci_excludes_zero
Log productivity,1,11820,0.7417599599447094,0.6774433649357797,8.670809760845525,7.722011067052335,9.678246156876767,0.6259456961904692,0.689395256355834,0.06344956016536474,0.055644953956880995,0.07028528100992201,True,True
Log productivity,2,11229,0.7516905973880548,0.6971430910303181,7.256643431123948,6.2427092645561295,8.309503959224104,0.6025907520473961,0.6582558918423365,0.055665139794940366,0.04821930841923985,0.0630909746577585,True,True
Log productivity,5,9456,0.7966295737326935,0.7518759447697634,5.617871899135276,4.5437234460827645,6.655756781251812,0.5088598256667287,0.568464191142511,0.059604365475782295,0.04966049390761253,0.06992606915937141,True,True
Percentile rank,1,11820,0.1830851892101328,0.16680372350915465,8.892836046006645,7.9476650259915536,9.796349253818988,0.6236196221897985,0.6888622444892498,0.06524262229945132,0.05819379119607028,0.07210776906100831,True,True
Percentile rank,2,11229,0.1872934620052045,0.1741925088991961,6.994880101924939,6.064063021340187,7.990285184012216,0.6009028615171658,0.656982884114598,0.05608002259743228,0.04864590894977828,0.06282030077211771,True,True
Percentile rank,5,9456,0.20584382206056692,0.19404787896758374,5.730530542477186,4.690393054043504,6.766913296817968,0.5041637101157713,0.5644504926162138,0.060286782500442504,0.04992136478629811,0.07036884249056274,True,True
