model,n,log_mu,log_sigma,qq_r
Empirical,591,6.715420519751353,1.2814842110232068,0.9637850293225068
ARW4,10000,7.129560787910978,0.47037414891419055,0.9994892551066089
Hurdle-AR(1)-S,10000,6.909168315594809,0.6364213992942224,0.9968512349208638
SE-Hurdle-S,9998,6.708840715855938,1.2351676967150398,0.9736102522883887
GRW-Y,10000,8.715701732691512,3.581206765579108,0.9776948483158334
