model,n,canonical_n,canonical_fraction,ci_low,ci_high,median_changepoint
Empirical,591,136,0.23011844331641285,0.1979916602006932,0.2657309918275716,4.0
ARW4,10000,2342,0.2342,0.22600262921699682,0.24260150431685484,4.0
Hurdle-AR(1)-S,10000,1957,0.1957,0.18804153222396042,0.2035921691844334,4.0
SE-Hurdle-S,10000,1938,0.1938,0.18617094686462204,0.2016642137375803,4.0
GRW-Y,10000,1341,0.1341,0.12756154150463053,0.14091946850303058,4.0
