model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,rho,half_life
Unrestricted history,0,activity,591,0.1935847333838192,1.1115002040551614,-0.48863313987181173,0.0,,,,0.6696666666666666,1.7286534819576687
Unrestricted history,0,positive,431,0.8607497182436584,0.5205050697970449,,0.0,0.7456184143891462,0.5747889545936542,0.48747066649718157,0.6696666666666666,1.7286534819576687
Unrestricted history,1-4,activity,2364,-0.4095220187384201,0.7943718213843939,-0.10416255163778608,0.806436034432419,,,,0.6696666666666666,1.7286534819576687
Unrestricted history,1-4,positive,1912,0.790428581302304,0.39241219697210006,,0.23435705592948602,0.5838886480034363,0.6127515809279644,0.4998504682466472,0.6696666666666666,1.7286534819576687
Unrestricted history,5-7,activity,1773,-0.6720211838490833,1.0547750859467329,-1.0245439367469382,1.2694974553704634,,,,0.6696666666666666,1.7286534819576687
Unrestricted history,5-7,positive,1505,0.368040999172523,0.38120305373321517,,0.3835021706769107,0.6055299790132518,0.5952107162395545,0.48543138065918934,0.6696666666666666,1.7286534819576687
Unrestricted history,8-20,activity,7092,-1.168048056933433,1.043249912223232,-0.6224124210934069,1.52750971983691,,,,0.6696666666666666,1.7286534819576687
Unrestricted history,8-20,positive,5974,0.04969852577165901,0.44175904690273404,,0.46624294144202105,0.5251678603543246,0.5872889829024919,0.466211443967213,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,0,activity,591,0.1935847333838192,1.1115002040551594,-0.48863313987180834,0.0,,,,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,0,positive,431,0.8607497182436584,0.5205050697970449,,0.0,0.7456184143891462,0.5747889545936542,0.48747066649718157,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,1-4,activity,2364,-0.4095220187384201,0.7943718213843945,-0.10416255163778775,0.8064360344324194,,,,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,1-4,positive,1912,0.790428581302304,0.39241219697210006,,0.23435705592948602,0.5838886480034363,0.6127515809279644,0.4998504682466472,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,5-7,activity,1773,-0.6720211838490826,1.0547750859467344,-1.0245439367469416,1.2694974553704634,,,,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,5-7,positive,1505,0.368040999172523,0.38120305373321517,,0.3835021706769107,0.6055299790132518,0.5952107162395545,0.48543138065918934,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,8-20,activity,7092,-1.1680480569334328,1.0432499122232333,-0.622412421093409,1.52750971983691,,,,0.6696666666666666,1.7286534819576687
SE-Hurdle-S,8-20,positive,5974,0.04969852577165901,0.44175904690273404,,0.46624294144202105,0.5251678603543246,0.5872889829024919,0.466211443967213,0.6696666666666666,1.7286534819576687
