year,target_year,weighted_tv,max_abs_residual,null_median,null_low,null_high
0,2,0.09786061037965145,0.16253106359211789,0.05730320363889618,0.03586521219524295,0.07973961471526711
1,3,0.12966649577379366,0.19755424326276538,0.05911597231190198,0.03968591947886546,0.0828808911614488
2,4,0.1572700763090473,0.25018237420831607,0.05971206931664068,0.038501118500484675,0.0816425982438749
3,5,0.12653037475546977,0.1276600613287912,0.05989049418080369,0.03907624708235934,0.08347042246028502
4,6,0.13569677935243687,0.16864530297195923,0.05926849538348816,0.039896862251368216,0.08162207956623027
5,7,0.13223819685627758,0.1593864173651408,0.059131848487057576,0.03961702146120202,0.08161722194346982
6,8,0.11649494074346642,0.19124230928543312,0.05905147887487472,0.03948203524739297,0.08277186533024986
7,9,0.1310914714519282,0.18717772427838936,0.05937644589800908,0.03771630771209159,0.08392944112481723
8,10,0.13404191503861612,0.1890937770878483,0.05741985203516293,0.037601746475854965,0.08192647937336571
9,11,0.14623605413218108,0.22975540714083298,0.057564122722200836,0.03739661134526089,0.08185453223673078
10,12,0.10919751592142177,0.15154215764508638,0.055130214261575924,0.036741075255795064,0.07867657898779648
11,13,0.128534840379405,0.16523667327309,0.05529002060408942,0.03509397028689164,0.07643102565602536
12,14,0.11899759676395726,0.15298297367720448,0.05559398618171138,0.0372972609434392,0.07804160842985801
13,15,0.15400246691587388,0.20333452048384576,0.055341432692629935,0.0362611138081485,0.07942386047824207
14,16,0.12496995886950701,0.12872988489895515,0.05554047469125409,0.037109153947673675,0.08030896105269544
15,17,0.11908375364241136,0.14785936923366083,0.05413266363098003,0.03537992150120077,0.07971775806280154
16,18,0.13093353053555937,0.14399849479307908,0.05485866895507093,0.03614298958165254,0.07736868128117302
17,19,0.13268431823476917,0.14123801197194608,0.05320150751800482,0.03464939332803615,0.07755628226701092
18,20,0.10733808417311665,0.12157049672125625,0.05171807654406649,0.03348591283933474,0.0733108370937713
