model,terminal_persistence,persistence_rmse
Empirical,0.20157088641859774,0.0
GRW-Y,0.12424204388359804,0.09429120902914957
Hurdle-AR(1)-S,0.0029514413790956485,0.2677193111420126
SE-Hurdle-S,0.19798777776360502,0.03911079224443394
