rho,mean_nll,se_nll
0.0,1.1080494022340002,0.008655862653149859
0.0196,1.1069817955528838,0.008691936807293696
0.0392,1.105920038733547,0.008730126775997875
0.0588,1.104864602029238,0.008770473341140362
0.0784,1.1038161595561653,0.008813053839312369
0.098,1.1027753908717917,0.008857782992113533
0.1176,1.1017428654766286,0.008904729622484463
0.1372,1.1007194689233522,0.00895389845986363
0.1568,1.09970594611975,0.009005219706946755
0.1764,1.0987034282352919,0.009058885539550192
0.196,1.0977127439588874,0.009114713089274437
0.21559999999999999,1.0967350124672652,0.009172737974656326
0.2352,1.095771387892618,0.00923289298100286
0.25479999999999997,1.094823117341059,0.00929511636959531
0.2744,1.0938917673905602,0.009359517053552485
0.294,1.0929787389522108,0.009425888501932279
0.3136,1.0920857411208207,0.009494261358598953
0.3332,1.091214141479783,0.009564283763545327
0.3528,1.0903659674400035,0.009635930755215641
0.3724,1.0895431726420717,0.009709030995112802
0.392,1.0887480221209418,0.009783424503600143
0.41159999999999997,1.0879825165594064,0.009858836863941536
0.43119999999999997,1.0872491063094298,0.009935048117023136
0.4508,1.0865503958775744,0.010011682673355842
0.4704,1.0858890804553565,0.010088454249667568
0.49,1.085268102183964,0.010165050446182872
0.5095999999999999,1.084690616050998,0.010241086296283008
0.5292,1.0841599944350206,0.010316092055290427
0.5488,1.0836799061282396,0.010389612389869598
0.5684,1.0832543569386286,0.010461151859837767
0.588,1.082887762713088,0.010530179640757774
0.6076,1.0825849387376374,0.010596108492053396
0.6272,1.0823513296013691,0.010658305841682722
0.6467999999999999,1.0821929365485186,0.010716105397587952
0.6664,1.082116507022219,0.010768766624312514
0.6859999999999999,1.082129609670257,0.010815486541089686
0.7056,1.0822403464479229,0.0108555017687092
0.7252,1.0824579874929434,0.010887907371866675
0.7448,1.0827921563083183,0.010911883622244935
0.7644,1.0832530927361486,0.010926578857876495
0.784,1.0838508456431393,0.01093129615352893
0.8036,1.084594917762309,0.010925484647307884
0.8231999999999999,1.0854932973495015,0.010908845287956086
0.8428,1.0865514425960818,0.010881380386462641
0.8623999999999999,1.0877711267405061,0.010843460826382505
0.882,1.0891494840664588,0.010795974298401371
0.9016,1.090677640276187,0.010739888366644901
0.9212,1.0923410424682651,0.0106767355775333
0.9408,1.0941191039832814,0.010608166310444948
0.9603999999999999,1.095986514278032,0.010535790225722017
0.98,1.097914652197947,0.010461097734131434
