model,year,mean,median,variance,zero_fraction,log_mean,log_median,log_variance
Empirical,0,4.011242049398463,2.9143644012641174,24.261698745767106,0.38578680203045684,0.8169055203820034,1.2250582558817409,1.6606774007904714
Empirical,1,5.29978039806597,4.04208312582216,28.436243036307282,0.2707275803722504,1.1750709007726292,1.5111816849706636,1.5679457662898233
Empirical,2,6.619211903495266,4.823918902036079,47.78865941640996,0.2182741116751269,1.3763116522388892,1.6703295860311196,1.5701497973848977
Empirical,3,7.171494083620039,5.549047000824661,45.689872924326075,0.1844331641285956,1.5139927017678527,1.7982462181775212,1.4615315151635104
Empirical,4,7.661080674424587,6.1309007630139,51.09700112167396,0.1996615905245347,1.536927493559318,1.8902314276131817,1.6115557258234317
Empirical,5,7.565515663211702,5.828728802528235,51.5120479138512,0.16243654822335024,1.582660208239381,1.8435180490871674,1.4002377628752547
Empirical,6,7.198262473535465,5.549047000824661,43.83261033988266,0.14890016920473773,1.5731235513334543,1.7982462181775212,1.2829834825542505
Empirical,7,7.098218568454508,5.20913670201103,53.747659347986016,0.16074450084602368,1.512688825738097,1.74031470758238,1.3602469924047356
Empirical,8,6.864746427449964,5.048483260875706,45.05325368900556,0.14382402707275804,1.5247883436850926,1.7117206836493852,1.2429574639006014
Empirical,9,7.113879907402587,5.048483260875706,48.98777653971164,0.16074450084602368,1.5157245143601967,1.7117206836493852,1.3725905605432411
Empirical,10,7.046144969109745,5.62547922309496,44.75831277815106,0.155668358714044,1.518809635872598,1.8108231345222845,1.3494308629727598
Empirical,11,7.052060817402822,5.411175082295543,48.97243617593551,0.16243654822335024,1.5040615711611145,1.7751514975714313,1.3779393596021705
Empirical,12,6.96854903903422,5.0184284035381586,50.09948414908222,0.14213197969543148,1.512398368687185,1.706279356261969,1.2807182369323957
Empirical,13,6.913973631999157,4.838203507789982,60.38573588509877,0.17597292724196278,1.4363760911956962,1.6730141284151712,1.453155132656859
Empirical,14,6.967563978324849,5.0184284035381586,52.91957153848287,0.15905245346869712,1.4722043878599966,1.706279356261969,1.3882510436749287
Empirical,15,7.150804371550132,5.0184284035381586,58.36769281818614,0.1455160744500846,1.5063426338830228,1.706279356261969,1.344316922406292
Empirical,16,7.091801042233709,5.084821644986893,50.72785519957861,0.14382402707275804,1.5287639814825067,1.7182603249038275,1.3098183994244645
Empirical,17,6.756788559103909,5.084821644986893,51.710206317569124,0.18104906937394247,1.423867433339018,1.7182603249038275,1.4587555551156595
Empirical,18,6.898688410640174,4.775004461937235,55.99097347405879,0.14890016920473773,1.470220404026433,1.6610819930570395,1.3353440759637563
Empirical,19,6.582380598981917,4.775004461937235,48.76544804760164,0.15736040609137056,1.4175885978499514,1.6610819930570395,1.3593192668727798
Empirical,20,6.547802636390854,4.493036099511478,52.3896574541667,0.15905245346869712,1.390287028273233,1.6060393638067363,1.3874300597959026
ARW4,0,4.50159190282943,3.149288803482185,20.18345456126241,0.0,1.233727665845079,1.291788273322536,0.8042242428030624
ARW4,1,6.350970227751792,4.942327156923248,30.06959487485679,0.0,1.596873480102394,1.6923675973245258,0.741851434818498
ARW4,2,7.224257694791723,5.853224737247093,34.411165887270805,0.0,1.7334047673538888,1.8473872721786329,0.7229703491135738
ARW4,3,7.819261767756898,6.417466117235007,37.39142380087454,0.0,1.8161802333656965,1.9326028724149913,0.713168951366661
ARW4,4,8.185131280387864,6.822919933250834,39.23740085827025,0.0,1.861546494757965,1.9896426371128648,0.7215611261064965
ARW4,5,8.458525727174951,7.038126042468194,41.516154099117685,0.0,1.8971315071760249,2.01864613139123,0.7083272197207138
ARW4,6,7.972054973450457,6.653990141365608,36.50653036626317,0.0,1.8463336870669773,1.9662714627995381,0.6922565275602063
ARW4,7,7.65354798127101,6.437724999509106,33.0321263702259,0.0,1.8163255076029527,1.9355314556714918,0.6682494690908365
ARW4,8,7.5209134533209845,6.299550761692242,32.227732277164414,0.0,1.7991525562039878,1.915384770678421,0.6687573242552858
ARW4,9,7.1910455089536045,5.992184768728363,30.108711862709857,0.0,1.754022880598644,1.869057590881427,0.6734288936257907
ARW4,10,7.0407131558983425,5.891448042823187,28.18580078163883,0.0,1.7427078429691398,1.8533950304785973,0.6511308658159477
ARW4,11,6.816209586839256,5.6894539880374655,27.40610408039399,0.0,1.7096245720409344,1.8212299148079238,0.6513516687741976
ARW4,12,6.756772719875386,5.6192382917121195,27.547690285136028,0.0,1.69515928170084,1.8098020988058483,0.6675265995931821
ARW4,13,6.736107537501401,5.521332728780115,27.16676424580041,0.0,1.6911711970498604,1.7936464757568995,0.6724621611378157
ARW4,14,6.758425011737713,5.582193508110732,27.272093277389498,0.0,1.6959336699711545,1.8037199067723035,0.6674157022716103
ARW4,15,6.725927929508936,5.570268679670387,26.606544101754,0.0,1.6954639407678807,1.8017541355581161,0.6555272259397312
ARW4,16,6.752657045138425,5.662364416373613,26.305514796676412,0.0,1.7002954920002324,1.816836462555365,0.6590427162597703
ARW4,17,6.782839339648105,5.665763311594477,26.21088701653046,0.0,1.7097469183888665,1.8173886609768728,0.6431771101939686
ARW4,18,6.791772929054426,5.627473057384061,26.912762475612784,0.0,1.7018323273812395,1.811149109771591,0.6682221077652539
ARW4,19,6.749792327724249,5.67226726010872,25.99288731888007,0.0,1.7004302121766104,1.818444764332156,0.6630280381839032
ARW4,20,6.776173467088032,5.677419059532386,25.849743116458534,0.0,1.711943733507856,1.819280426565081,0.636197106649564
Hurdle-AR(1)-S,0,4.019221938892478,1.3376875907606314,37.25730984153282,0.3841,0.6688296737032264,0.6030515548827731,1.7606256674200438
Hurdle-AR(1)-S,1,5.0281823828426155,3.4050901087547523,36.72502923208182,0.2724,1.0466372831038555,1.3597167993021069,1.6219519251093533
Hurdle-AR(1)-S,2,6.220924894729395,4.5332277607530465,48.16976731415857,0.21,1.3022124085340814,1.614072707156919,1.5577115967673258
Hurdle-AR(1)-S,3,6.817689577478969,5.015812845267176,55.06895597000091,0.1865,1.4154968848966651,1.7058043927809745,1.5107917682389551
Hurdle-AR(1)-S,4,7.204337700187708,5.362815032257771,62.564913149878805,0.1782,1.4763298925491126,1.766922747448736,1.5023080755556628
Hurdle-AR(1)-S,5,7.384373231825163,5.4894012886774775,61.66460134733125,0.1781,1.4987472486168,1.7883204426137365,1.5231742881387471
Hurdle-AR(1)-S,6,6.805354356014256,5.121772688647617,50.16272434858521,0.1577,1.4654663551433629,1.7248666568877595,1.371986799730578
Hurdle-AR(1)-S,7,6.630654941703392,4.873551145983902,48.587792865397056,0.1538,1.4500232026163127,1.679626281332101,1.3336682561265303
Hurdle-AR(1)-S,8,6.531323691140733,4.794059287269747,47.25735107624926,0.148,1.445999149940169,1.6646946046035358,1.2964898506682596
Hurdle-AR(1)-S,9,6.544524848993282,4.609896305736228,52.023869238088174,0.1572,1.4105666304581743,1.6292202073101807,1.3691820023225
Hurdle-AR(1)-S,10,6.410036106403652,4.3880991412288655,58.659945250636945,0.1554,1.3764855597476076,1.5847556219270382,1.3641809189251994
Hurdle-AR(1)-S,11,6.330334665649408,4.270926392005188,56.73875049498862,0.1499,1.3729190483323108,1.5604422693075368,1.3329511692089682
Hurdle-AR(1)-S,12,6.328794164806999,4.267691541559422,59.112500424862155,0.1575,1.3622813503911482,1.5597625329298759,1.3577006311896467
Hurdle-AR(1)-S,13,6.2654002270062366,4.2373880170054745,58.58557545022202,0.1562,1.3569594985339366,1.5533728329506398,1.3426225308648025
Hurdle-AR(1)-S,14,6.338654489220463,4.256653196353604,60.500478803546926,0.1503,1.3691808243191814,1.557439778385854,1.335216396029297
Hurdle-AR(1)-S,15,6.243942016757194,4.2779946372571835,55.14176372284211,0.1581,1.3553312614162865,1.561925796675824,1.348544643450755
Hurdle-AR(1)-S,16,6.181704760623107,4.272224770073714,51.82988914188062,0.1613,1.3460023870106992,1.560714947694796,1.3592231258653467
Hurdle-AR(1)-S,17,6.168343741104922,4.152854030704503,54.368324225901276,0.1591,1.342112523862541,1.5353292692437006,1.3510317202943543
Hurdle-AR(1)-S,18,6.201198749553603,4.143666372047926,63.16641072858648,0.1563,1.3430609400361948,1.5333484275305294,1.3413640207398587
Hurdle-AR(1)-S,19,6.165951890613266,4.161998652355889,55.93384651779196,0.1512,1.3491044891734303,1.537296905239967,1.3226907455030517
