model,rho,memory_half_life,cv_nll,terminal_rank_persistence,rank_persistence_rmse
Hurdle-AR(1)-S,,,1.3527184742781515,0.0029514413790956485,0.2677193111420126
SE-Hurdle-S,0.6664,1.7078261472840948,1.082116507022219,0.19798777776360502,0.03911079224443394
