model,q0_exponential_scale,q0_zero_fraction,career_sd_mean,career_sd_median,career_sd_ks_D,career_sd_ks_p,positive_career_sd_mean,positive_career_sd_median,positive_career_sd_ks_D,positive_career_sd_ks_p,annual_zero_fraction,annual_positive_ks_D,annual_positive_ks_p
Empirical,4.011242049398463,0.38578680203045684,4.290433489545381,3.808594526229846,0.0,1.0,4.079631364070485,3.5983742130193956,0.0,1.0,0.1793570219966159,0.0,1.0
ARW4,4.50159190282943,0.0,4.868927331794199,4.589932587185756,0.22500846023688664,2.7156488834662207e-25,4.868927331794199,4.589932587185756,0.2733482112436116,4.555019825131177e-37,0.0,0.09964236622484046,2.069635479213238e-84
Hurdle-AR(1)-S,4.019221938892484,0.3841,6.1987903200777055,5.4961586850829285,0.31957918781725886,3.954145246418468e-51,6.083836227487599,5.326553200829547,0.3103664395229983,6.975179728568387e-48,0.17813809523809523,0.07196585687963342,9.315376473434993e-44
SE-Hurdle-S,3.965511986028315,0.391,4.950484684143172,4.110792485567414,0.10549407783417936,7.312425172670139e-06,4.760922084985346,3.918030218982836,0.10898237862010221,3.4368859348828587e-06,0.18454761904761904,0.03809845459799577,1.4681531722114053e-12
