model,stage,p_0_to_0,p_0_to_1,p_1_to_0,p_1_to_1,intercept,beta,sigma,laplace_scale,positive_n,restart_scale,restart_n
Hurdle-AR(1)-S,0,0.4517543859649123,0.5482456140350878,0.15702479338842976,0.8429752066115702,1.0993979123268771,0.438526298643574,0.5818884722223923,0.49028100538952335,306,5.900596826671169,125
Hurdle-AR(1)-S,1-4,0.4689922480620155,0.5310077519379846,0.11363636363636363,0.8863636363636364,1.1105350238688585,0.455912704085088,0.6436901982191677,0.5298557990497429,1638,5.876196254864497,274
Hurdle-AR(1)-S,5-7,0.4050179211469534,0.5949820788530465,0.1037483266398929,0.8962516733601071,0.908810506954296,0.5060774622049556,0.6412262915403808,0.5269039249122924,1339,4.958860724328836,166
Hurdle-AR(1)-S,8-20,0.4806131650135257,0.5193868349864743,0.0977770349323082,0.9022229650676918,0.6915440078084814,0.6225954120453698,0.6398797870464598,0.5149276206723882,5398,3.535714343644376,576
