repeat,fold,model,cv_nll
7,0,Hurdle-AR(5)-S-P,1.2962981951148604
7,1,SE-Hurdle-S,1.0539578253019748
7,1,SE-Hurdle-T5,1.055806038158326
7,1,Hurdle-AR(5)-S-P,1.2329245920486973
7,2,SE-Hurdle-S,1.110823163755178
7,2,SE-Hurdle-T5,1.1134720439727566
7,2,Hurdle-AR(5)-S-P,1.318091819699968
7,3,SE-Hurdle-S,1.059226352169847
7,3,SE-Hurdle-T5,1.0602851667251956
7,3,Hurdle-AR(5)-S-P,1.2519157031855024
7,4,SE-Hurdle-S,1.0788821534181852
7,4,SE-Hurdle-T5,1.0810331613128166
7,4,Hurdle-AR(5)-S-P,1.2602014594147004
8,0,SE-Hurdle-S,1.0685103355207506
8,0,SE-Hurdle-T5,1.0695970237246692
8,0,Hurdle-AR(5)-S-P,1.2696882631082544
8,1,SE-Hurdle-S,1.0771664976510484
8,1,SE-Hurdle-T5,1.079294320404929
8,1,Hurdle-AR(5)-S-P,1.2687638460120718
8,2,SE-Hurdle-S,1.0714060229766715
8,2,SE-Hurdle-T5,1.0739643930808023
8,2,Hurdle-AR(5)-S-P,1.2508091940194488
8,3,SE-Hurdle-S,1.0869998898733002
8,3,SE-Hurdle-T5,1.0880235687120892
8,3,Hurdle-AR(5)-S-P,1.2614158035051206
8,4,SE-Hurdle-S,1.1070183867255476
8,4,SE-Hurdle-T5,1.109954520901721
8,4,Hurdle-AR(5)-S-P,1.3070434267180902
9,0,SE-Hurdle-S,1.0848163212474637
9,0,SE-Hurdle-T5,1.0877543537501406
9,0,Hurdle-AR(5)-S-P,1.2597014275088905
9,1,SE-Hurdle-S,1.0995903027971743
9,1,SE-Hurdle-T5,1.1020165908737085
9,1,Hurdle-AR(5)-S-P,1.281536893850152
9,2,SE-Hurdle-S,1.0814075134046788
9,2,SE-Hurdle-T5,1.0830236883040163
9,2,Hurdle-AR(5)-S-P,1.2658556118201156
9,3,SE-Hurdle-S,1.0827189551643392
9,3,SE-Hurdle-T5,1.0840487828863858
9,3,Hurdle-AR(5)-S-P,1.2939280660841057
9,4,SE-Hurdle-S,1.0618746470426454
9,4,SE-Hurdle-T5,1.0633362327274796
9,4,Hurdle-AR(5)-S-P,1.2556763630775547
10,0,SE-Hurdle-S,1.0913249331915127
10,0,SE-Hurdle-T5,1.0931898742742732
10,0,Hurdle-AR(5)-S-P,1.2935467727612469
10,1,SE-Hurdle-S,1.088675495330388
10,1,SE-Hurdle-T5,1.090717164627574
10,1,Hurdle-AR(5)-S-P,1.2623578359993952
10,2,SE-Hurdle-S,1.1300585411621484
10,2,SE-Hurdle-T5,1.131774730607855
10,2,Hurdle-AR(5)-S-P,1.3424205095311996
10,3,SE-Hurdle-S,1.0660344998566076
10,3,SE-Hurdle-T5,1.068474244741422
10,3,Hurdle-AR(5)-S-P,1.2437770554114067
10,4,SE-Hurdle-S,1.038467243628951
10,4,SE-Hurdle-T5,1.04036426151747
10,4,Hurdle-AR(5)-S-P,1.217766784385081
11,0,SE-Hurdle-S,1.1143833113482948
11,0,SE-Hurdle-T5,1.1160818646505024
11,0,Hurdle-AR(5)-S-P,1.31450203436135
11,1,SE-Hurdle-S,1.0686562450784045
11,1,SE-Hurdle-T5,1.0698798255179087
11,1,Hurdle-AR(5)-S-P,1.27621729083782
11,2,SE-Hurdle-S,1.0853227772929204
11,2,SE-Hurdle-T5,1.088072297491311
11,2,Hurdle-AR(5)-S-P,1.271458986788953
11,3,SE-Hurdle-S,1.0660941431226856
11,3,SE-Hurdle-T5,1.0679420531163892
11,3,Hurdle-AR(5)-S-P,1.2496291593763365
11,4,SE-Hurdle-S,1.0786246588095783
11,4,SE-Hurdle-T5,1.0808327469913843
11,4,Hurdle-AR(5)-S-P,1.251137970075296
12,0,SE-Hurdle-S,1.1061867010076971
12,0,SE-Hurdle-T5,1.108138468708341
12,0,Hurdle-AR(5)-S-P,1.3068133731204992
12,1,SE-Hurdle-S,1.0623913163213075
12,1,SE-Hurdle-T5,1.0633624173811993
12,1,Hurdle-AR(5)-S-P,1.2710469016510009
12,2,SE-Hurdle-S,1.1117292008120014
12,2,SE-Hurdle-T5,1.1137687597208858
12,2,Hurdle-AR(5)-S-P,1.291825714202379
12,3,SE-Hurdle-S,1.0934417480747536
12,3,SE-Hurdle-T5,1.0950810525562256
12,3,Hurdle-AR(5)-S-P,1.2676125999495078
12,4,SE-Hurdle-S,1.037403644637332
12,4,SE-Hurdle-T5,1.0408264174749537
12,4,Hurdle-AR(5)-S-P,1.222448485168864
13,0,SE-Hurdle-S,1.0862695127991893
13,0,SE-Hurdle-T5,1.0867495823157254
13,0,Hurdle-AR(5)-S-P,1.2791543123188247
13,1,SE-Hurdle-S,1.064075522639995
13,1,SE-Hurdle-T5,1.0656971564258326
13,1,Hurdle-AR(5)-S-P,1.232185024536919
13,2,SE-Hurdle-S,1.0933622953590476
13,2,SE-Hurdle-T5,1.0960855677595647
13,2,Hurdle-AR(5)-S-P,1.291563835514288
13,3,SE-Hurdle-S,1.0870589229763874
13,3,SE-Hurdle-T5,1.0897269185222072
13,3,Hurdle-AR(5)-S-P,1.2806903084384151
13,4,SE-Hurdle-S,1.084860382176663
13,4,SE-Hurdle-T5,1.087225712834752
13,4,Hurdle-AR(5)-S-P,1.2787703831196782
14,0,SE-Hurdle-S,1.0713398980703874
14,0,SE-Hurdle-T5,1.0727503876490891
14,0,Hurdle-AR(5)-S-P,1.255846348084923
14,1,SE-Hurdle-S,1.0616219106665767
14,1,SE-Hurdle-T5,1.0647130601487778
14,1,Hurdle-AR(5)-S-P,1.2661495015270023
14,2,SE-Hurdle-S,1.0893162589135645
14,2,SE-Hurdle-T5,1.0920413372648123
14,2,Hurdle-AR(5)-S-P,1.279807117407994
14,3,SE-Hurdle-S,1.1062569676411078
14,3,SE-Hurdle-T5,1.1074477215226857
14,3,Hurdle-AR(5)-S-P,1.2891693701106897
14,4,SE-Hurdle-S,1.0813511352446261
14,4,SE-Hurdle-T5,1.082802119997917
14,4,Hurdle-AR(5)-S-P,1.265311432981015
15,0,SE-Hurdle-S,1.090965821541796
15,0,SE-Hurdle-T5,1.0921336403680684
15,0,Hurdle-AR(5)-S-P,1.2825667453015983
15,1,SE-Hurdle-S,1.1191738096050503
15,1,SE-Hurdle-T5,1.1209932790218997
15,1,Hurdle-AR(5)-S-P,1.3155111156515176
15,2,SE-Hurdle-S,1.0491524893411055
15,2,SE-Hurdle-T5,1.0526526883448173
15,2,Hurdle-AR(5)-S-P,1.2528073323629743
15,3,SE-Hurdle-S,1.0535878627665893
15,3,SE-Hurdle-T5,1.0558341630161692
15,3,Hurdle-AR(5)-S-P,1.2114115956910096
15,4,SE-Hurdle-S,1.0983418333930355
15,4,SE-Hurdle-T5,1.099488558445086
15,4,Hurdle-AR(5)-S-P,1.2997426673128978
16,0,SE-Hurdle-S,1.083284616047971
16,0,SE-Hurdle-T5,1.0852675363476707
16,0,Hurdle-AR(5)-S-P,1.2617164557097915
16,1,SE-Hurdle-S,1.049270509916915
16,1,SE-Hurdle-T5,1.05193483163393
16,1,Hurdle-AR(5)-S-P,1.2382461755010694
16,2,SE-Hurdle-S,1.090367433243725
16,2,SE-Hurdle-T5,1.0925453027805374
16,2,Hurdle-AR(5)-S-P,1.2783434432446132
16,3,SE-Hurdle-S,1.0778344881525481
16,3,SE-Hurdle-T5,1.0794367316217681
16,3,Hurdle-AR(5)-S-P,1.2501681702310519
16,4,SE-Hurdle-S,1.1070360153436571
16,4,SE-Hurdle-T5,1.108464986156084
16,4,Hurdle-AR(5)-S-P,1.3271766563222063
17,0,SE-Hurdle-S,1.033994763609017
17,0,SE-Hurdle-T5,1.035264336823518
17,0,Hurdle-AR(5)-S-P,1.2151275003634907
17,1,SE-Hurdle-S,1.0861001932688137
17,1,SE-Hurdle-T5,1.0872374188923455
17,1,Hurdle-AR(5)-S-P,1.2735905044091527
17,2,SE-Hurdle-S,1.078843230359406
17,2,SE-Hurdle-T5,1.0823786974264789
17,2,Hurdle-AR(5)-S-P,1.272792068150507
17,3,SE-Hurdle-S,1.0706471316071264
17,3,SE-Hurdle-T5,1.072767474448057
17,3,Hurdle-AR(5)-S-P,1.2475838756200668
17,4,SE-Hurdle-S,1.1416918290583309
17,4,SE-Hurdle-T5,1.1433630972185722
17,4,Hurdle-AR(5)-S-P,1.3507282655195028
18,0,SE-Hurdle-S,1.100408058882631
18,0,SE-Hurdle-T5,1.1022629525423562
18,0,Hurdle-AR(5)-S-P,1.2982675237128822
18,1,SE-Hurdle-S,1.073087395107898
18,1,SE-Hurdle-T5,1.0755601396224246
18,1,Hurdle-AR(5)-S-P,1.2390853378762652
18,2,SE-Hurdle-S,1.077596766003715
18,2,SE-Hurdle-T5,1.0791936777368623
18,2,Hurdle-AR(5)-S-P,1.2594294813867417
18,3,SE-Hurdle-S,1.066318692243116
18,3,SE-Hurdle-T5,1.068170883653272
18,3,Hurdle-AR(5)-S-P,1.2340317899256086
18,4,SE-Hurdle-S,1.092756244958458
18,4,SE-Hurdle-T5,1.0948955799855657
18,4,Hurdle-AR(5)-S-P,1.329049220074745
19,0,SE-Hurdle-S,1.0680285021428468
19,0,SE-Hurdle-T5,1.0695815957735046
19,0,Hurdle-AR(5)-S-P,1.2483787558249808
19,1,SE-Hurdle-S,1.0756931866227544
19,1,SE-Hurdle-T5,1.0779342021749936
19,1,Hurdle-AR(5)-S-P,1.289315504404122
19,2,SE-Hurdle-S,1.1167958091245571
19,2,SE-Hurdle-T5,1.1189762962410024
19,2,Hurdle-AR(5)-S-P,1.300531115205887
19,3,SE-Hurdle-S,1.0802789001892135
19,3,SE-Hurdle-T5,1.0823160151122426
19,3,Hurdle-AR(5)-S-P,1.2698445948231047
19,4,SE-Hurdle-S,1.0733081307881016
19,4,SE-Hurdle-T5,1.0750398410678588
19,4,Hurdle-AR(5)-S-P,1.2504068286992165
20,0,SE-Hurdle-S,1.084010321217933
20,0,SE-Hurdle-T5,1.0865851142594949
20,0,Hurdle-AR(5)-S-P,1.2563036092827837
20,1,SE-Hurdle-S,1.0882591313743673
20,1,SE-Hurdle-T5,1.088673651185523
20,1,Hurdle-AR(5)-S-P,1.2610777622046097
20,2,SE-Hurdle-S,1.0639569691059074
20,2,SE-Hurdle-T5,1.065413065662258
20,2,Hurdle-AR(5)-S-P,1.2656227800897746
20,3,SE-Hurdle-S,1.0707710255767875
20,3,SE-Hurdle-T5,1.0739043702771636
20,3,Hurdle-AR(5)-S-P,1.2600715832669052
20,4,SE-Hurdle-S,1.1036391146483253
20,4,SE-Hurdle-T5,1.1057088622120026
20,4,Hurdle-AR(5)-S-P,1.3162956794224765
21,0,SE-Hurdle-S,1.0593301812949727
21,0,SE-Hurdle-T5,1.0625921938857465
21,0,Hurdle-AR(5)-S-P,1.2311214838444982
21,1,SE-Hurdle-S,1.0796288233965694
21,1,SE-Hurdle-T5,1.081434147248326
21,1,Hurdle-AR(5)-S-P,1.2794367295249185
21,2,SE-Hurdle-S,1.0787844031019778
21,2,SE-Hurdle-T5,1.080655530579138
21,2,Hurdle-AR(5)-S-P,1.271462554888113
21,3,SE-Hurdle-S,1.1133180785305516
21,3,SE-Hurdle-T5,1.1142971423131989
21,3,Hurdle-AR(5)-S-P,1.3001237956675222
21,4,SE-Hurdle-S,1.0838030626836224
21,4,SE-Hurdle-T5,1.0856006955401594
21,4,Hurdle-AR(5)-S-P,1.2807678758343284
22,0,SE-Hurdle-S,1.0739159716011708
22,0,SE-Hurdle-T5,1.076193829730513
22,0,Hurdle-AR(5)-S-P,1.2661654734842036
22,1,SE-Hurdle-S,1.0842029387070928
22,1,SE-Hurdle-T5,1.0860554795197606
22,1,Hurdle-AR(5)-S-P,1.2759763232456283
22,2,SE-Hurdle-S,1.0766478097137917
22,2,SE-Hurdle-T5,1.0778655261840902
22,2,Hurdle-AR(5)-S-P,1.264358206760299
22,3,SE-Hurdle-S,1.110579179581048
22,3,SE-Hurdle-T5,1.1137992346674863
22,3,Hurdle-AR(5)-S-P,1.3158662650327952
22,4,SE-Hurdle-S,1.0646560810863395
22,4,SE-Hurdle-T5,1.0662815281795497
22,4,Hurdle-AR(5)-S-P,1.237419302880311
23,0,SE-Hurdle-S,1.0544775259004442
23,0,SE-Hurdle-T5,1.0569591999587662
23,0,Hurdle-AR(5)-S-P,1.2450530254067373
23,1,SE-Hurdle-S,1.0743640727356545
23,1,SE-Hurdle-T5,1.076448650055548
23,1,Hurdle-AR(5)-S-P,1.2473222627492708
23,2,SE-Hurdle-S,1.1052509933808787
23,2,SE-Hurdle-T5,1.1066218678254947
23,2,Hurdle-AR(5)-S-P,1.3003057598462255
23,3,SE-Hurdle-S,1.0914780935653399
23,3,SE-Hurdle-T5,1.0927274738479114
23,3,Hurdle-AR(5)-S-P,1.2845208418121494
23,4,SE-Hurdle-S,1.0868021772408298
23,4,SE-Hurdle-T5,1.089278441779383
23,4,Hurdle-AR(5)-S-P,1.2818511710928178
24,0,SE-Hurdle-S,1.0772944892397323
24,0,SE-Hurdle-T5,1.0790503816836305
24,0,Hurdle-AR(5)-S-P,1.2675254445232396
24,1,SE-Hurdle-S,1.110066581774894
24,1,SE-Hurdle-T5,1.1133519687233093
24,1,Hurdle-AR(5)-S-P,1.3027417728084676
24,2,SE-Hurdle-S,1.0866879367654234
24,2,SE-Hurdle-T5,1.0865384117108448
24,2,Hurdle-AR(5)-S-P,1.2720395547494667
24,3,SE-Hurdle-S,1.0621235697709994
24,3,SE-Hurdle-T5,1.065196345634289
24,3,Hurdle-AR(5)-S-P,1.2514497431824192
24,4,SE-Hurdle-S,1.074197062184705
24,4,SE-Hurdle-T5,1.076043103818187
24,4,Hurdle-AR(5)-S-P,1.264680732492756
25,0,SE-Hurdle-S,1.1011535245336928
25,0,SE-Hurdle-T5,1.104005389097333
25,0,Hurdle-AR(5)-S-P,1.3124134429964613
25,1,SE-Hurdle-S,1.088948669437442
25,1,SE-Hurdle-T5,1.0908346477270086
25,1,Hurdle-AR(5)-S-P,1.2852858930064541
25,2,SE-Hurdle-S,1.0711911986912135
25,2,SE-Hurdle-T5,1.0730835930884735
25,2,Hurdle-AR(5)-S-P,1.2452393926393934
25,3,SE-Hurdle-S,1.0891767123840606
25,3,SE-Hurdle-T5,1.0893225522322543
25,3,Hurdle-AR(5)-S-P,1.2844818470799766
25,4,SE-Hurdle-S,1.0609453213776816
25,4,SE-Hurdle-T5,1.0639701950035052
25,4,Hurdle-AR(5)-S-P,1.2319275223688877
