stage,mean_abs_H_full_minus_H_T5,median_abs_H_full_minus_H_T5,q95_abs_H_full_minus_H_T5,activity_history_coef,positive_history_coef,mean_abs_activity_logit_contribution_gap,q95_abs_activity_logit_contribution_gap,mean_abs_positive_log_contribution_gap,q95_abs_positive_log_contribution_gap
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-4,0.0,0.0,0.0,0.8064360344324194,0.23435705592948664,0.0,0.0,0.0,0.0
5-7,0.030851239882840446,0.01565983276677274,0.10891593839428027,1.2694974553704632,0.38350217067691095,0.0391655705262897,0.13826850664082493,0.011831517463143398,0.04176949879551919
8-20,0.056310542543390574,0.04508678496050922,0.1485515866933232,1.5275097198369099,0.46624294144202105,0.08601490106431893,0.22691399257124653,0.02625439298962649,0.0692611287357744
