model,stage,activity_n,positive_n,restart_scale,restart_n,positive_intercept,sigma,laplace_scale,activity_intercept,activity_x_lag1,activity_prev_active,x_lag1,x_lag2,x_lag3,x_lag4,x_lag5
Hurdle-AR(5)-S-P,0,591,306,5.900596826671169,125,0.86074971824366,0.5800645335268945,0.4889461455368178,0.1935847333838192,1.1115002040551563,-0.4886331398718033,0.520505069797045,0.0,0.0,0.0,0.0
Hurdle-AR(5)-S-P,1-4,2364,1638,5.876196254864497,274,0.7946975594407635,0.62092498084494,0.5039788520548053,0.1241903895819445,1.1752970480054552,-0.3240115938060879,0.4067684584187951,0.1765179700505302,0.044151645254114635,-0.01106978925132514,-0.028551515740430335
Hurdle-AR(5)-S-P,5-7,1773,1339,4.958860724328836,166,0.35154342436994335,0.5944380861496231,0.4834861173691067,0.3845999392705268,1.6021245505448334,-1.1720508816785766,0.37291327837273325,0.18604651728883004,0.07027143436330008,0.0911996642460062,0.04327584622840844
Hurdle-AR(5)-S-P,8-20,7092,5398,3.535714343644376,576,0.09474949813683158,0.5915352529911598,0.4685237277880821,0.07758817059898204,1.8899568307888008,-1.0374189594906378,0.44771376524924544,0.19286108107111227,0.11263618081512188,0.0797075076324987,0.04846740500170071
