model,n,log_mu,log_sigma,qq_r,skew,skew_z,skew_p_left,bowley_skew,bowley_ci_low,bowley_ci_high,tail_asymmetry,tail_ci_low,tail_ci_high,skew_p_fdr
Empirical,591,6.715420519751353,1.2814842110232068,0.9637850293225068,-1.2603398127846301,-10.037858601378394,5.195264361109613e-24,-0.023745400271622148,-0.1219334489068883,0.0886278644880114,-0.20950727703304556,-0.28328520876890184,-0.10533625321610976,6.92701914814615e-24
SE-Hurdle-S,9995,6.739968364715815,1.229227569610101,0.9688928921488029,-1.0892962358704772,-36.66141246326531,1.505356127517072e-294,-0.14586967130105033,-0.17487549759082593,-0.12041736551691055,-0.3336382156007349,-0.35236568719050415,-0.3098978754897558,6.021424510068288e-294
SE-Hurdle-T5,9994,6.753683370151141,1.1766295645088347,0.9729443088411447,-1.0168572674578435,-34.845337657572074,2.5047194260203006e-266,-0.12872976182003235,-0.15716953114991639,-0.10443161962034951,-0.30083464262964715,-0.31678948602314294,-0.28459101153860167,5.009438852040601e-266
Hurdle-AR(5)-S-P,10000,6.708015204175885,0.9524577209247408,0.9988858223175701,-0.18457889990355894,-7.47728188891318,3.793777468073652e-14,-0.015507672997593897,-0.03775683531595183,0.010769976590525306,-0.038847639001792125,-0.05650940517615496,-0.021168674794921263,3.793777468073652e-14
