model,window,n_positive,qq_r,log2_mean,log2_sd
Hurdle-AR(5)-S-P,Years 17–20,9781,0.9712467600277856,3.896989060331501,1.6754522192746732
SE-Hurdle-S,Years 17–20,9633,0.9830941755108213,4.203869974153239,1.5090645522557813
SE-Hurdle-T5,Years 17–20,9629,0.9855657956653548,4.196070521455948,1.4878771186251594
Empirical,Last four observed,1872,0.9876000511117649,4.123854456307525,1.344266110585815
