model,sample,n,ad_n,beta,loc,scale,qq_r_ep,qq_r_laplace,delta_aic_ep_minus_laplace,delta_bic_ep_minus_laplace,lr_stat,lr_p,ad_stat,ad_p
Empirical,All transitions,11820,3000,0.7995385130518604,-0.060074971224287,2.646710356494901,0.994119641460973,0.9983982092567765,-89.90478809841443,-82.52723980745941,91.90478809841443,9.094869582806009e-22,12.364641990006021,0.005
SE-Hurdle-S,All transitions,200000,3000,0.6309145304101995,-2.6550402527118613e-14,1.5583747996244304,0.997321232147253,0.9793883741442396,-13057.179244281258,-13046.973171635764,13059.179244281258,0.0,10.183729850965392,0.005
SE-Hurdle-T5,All transitions,200000,3000,0.5587172044866328,1.616982454527692e-14,1.1251240354649252,0.9964621083234912,0.978244204944949,-14401.520806750981,-14391.314734105486,14403.520806750981,0.0,10.3938374178515,0.005
Hurdle-AR(5)-S-P,All transitions,200000,3000,0.44709141570902367,-2.7921957328902543e-18,0.4200304407853989,0.9906536995298749,0.9715778636906298,-29886.39496244327,-29876.188889797777,29888.39496244327,0.0,7.228563438722176,0.005
Empirical,Nonzero transitions,10829,3000,1.1974780975315988,-0.10207884293906022,5.262289042825431,0.9982388319437789,0.9974715085404684,-78.53465858932759,-71.24467558971082,80.53465858932759,2.856505482243207e-19,7.594878601835262,0.005
SE-Hurdle-S,Nonzero transitions,182801,3000,0.8926688823627198,0.039893822024114206,3.95254997480591,0.9885973597869893,0.9831142854452714,-948.2728393033613,-938.1566858948208,950.2728393033613,1.1572704731714902e-208,3.0195329194993974,0.005
SE-Hurdle-T5,Nonzero transitions,182444,3000,0.8955281772273279,0.01763358679032341,3.950261366012218,0.9875346216241364,0.9820698030560746,-899.1654596508015,-889.0512610950973,901.1654596508015,5.476006979482964e-198,2.6241638004830747,0.005
Hurdle-AR(5)-S-P,Nonzero transitions,181282,3000,0.7985842912026297,0.02485917040964329,3.064786760192953,0.9893299344369129,0.9769580273552232,-3678.825280525023,-3668.717471416341,3680.825280525023,0.0,1.1043476777081196,0.085
