model,terminal_persistence,persistence_rmse
Empirical,0.20157088641859774,0.0
SE-Hurdle-S,0.2030391600139893,0.03702220328875729
SE-Hurdle-T5,0.14220760893702364,0.06929238924751666
Hurdle-AR(5)-S-P,0.02373291981660174,0.20087644588131615
