model,q0_exponential_scale,q0_zero_fraction,career_sd_mean,career_sd_median,career_sd_ks_D,career_sd_ks_p,positive_career_sd_mean,positive_career_sd_median,positive_career_sd_ks_D,positive_career_sd_ks_p,annual_zero_fraction,annual_positive_ks_D,annual_positive_ks_p
Empirical,4.011242049398463,0.38578680203045684,4.290433489545381,3.808594526229846,0.0,1.0,4.079631364070485,3.5983742130193956,0.0,1.0,0.1793570219966159,0.0,1.0
SE-Hurdle-S,4.03389342542885,0.3803,4.991299188031347,4.229698684446992,0.11469407783417936,7.493841611074221e-07,4.812566588513961,4.030165939140474,0.11968152764019514,2.2485074001987128e-07,0.1815190476190476,0.03914995166664911,3.055962276163831e-13
SE-Hurdle-T5,3.965511986028315,0.391,5.060915066854641,4.297588741336845,0.12219407783417936,1.0149893943735536e-07,4.866870692304857,4.078098787764098,0.12665703995007796,3.264724727124656e-08,0.1841095238095238,0.037150414960059885,5.779234188109461e-12
Hurdle-AR(5)-S-P,3.946735447526569,0.3934,5.278395792588846,4.487183611458587,0.1393791878172589,6.417080324754914e-10,5.116893591197686,4.281974847287753,0.13972402044293014,6.619143596797929e-10,0.20218571428571427,0.06885351844811216,5.071153967216938e-40
