model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap,rho,max_lag
SE-Hurdle-S,8-20,activity,7092,-1.037187532623243,1.170494058112347,-0.8852752869327747,1.5086485836953396,,,,6,0.6696666666666666,
SE-Hurdle-S,8-20,positive,6053,0.08701874883321359,0.4549334242926187,,0.4332064297848151,0.504661382631996,0.6005747584379514,0.479903859184099,6,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.18384913778328438,0.6074835440318433,0.3130132292111565,0.0,,,,6,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,424,0.6545021306740296,0.6137237542537577,,0.0,0.9271488401657341,0.5767664581148638,0.49821467438451444,6,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.30496380433320036,0.6777005528169144,0.11750313295723133,0.7093969019333309,,,,6,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1907,0.8679608877286016,0.32489717480964975,,0.2670419052219397,0.4422552261739311,0.6065208199013468,0.4971649325613336,6,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.5311921070400225,1.3215112562816786,-1.4760840415431407,1.2053199872651632,,,,6,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1515,0.42481878181729515,0.37262275152213686,,0.36377995479319947,0.5888326834257676,0.6010368460763548,0.4938477239805633,6,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-0.9161842384711045,1.1794249879569694,-0.864558948279625,1.4051427044755647,,,,6,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,6053,0.11894496948012201,0.4588127537268652,,0.4096169498188842,0.505785310992712,0.6015334126116796,0.48092535044491497,6,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.17435335843829347,1.4406547464679578,-0.9701135841445646,0.0,,,,7,0.6696666666666666,
SE-Hurdle-S,0,positive,432,0.762839495703813,0.5690423271205154,,0.0,0.8374488828614137,0.5841480956598161,0.4956840060615387,7,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.5036151973868821,0.8203934978233483,0.022196594467105275,0.780006279747494,,,,7,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1910,0.8393935339923435,0.34440355655833305,,0.26088368954064095,0.5691057287622615,0.6253533116540549,0.5152890072760459,7,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.8464806616580867,1.0302221718758515,-0.678591306836421,1.1292477758457036,,,,7,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1476,0.38371034420186245,0.3531389511510611,,0.40300498143239283,0.5839852641390372,0.6026129684051802,0.4875467476859947,7,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.117747320183999,0.9998983956902434,-0.649827536660146,1.5921654927012616,,,,7,0.6696666666666666,
SE-Hurdle-S,8-20,positive,6008,0.03510774986652565,0.4558811182357197,,0.46874965705443533,0.527171902524019,0.5817508857712006,0.4604853583087236,7,0.6696666666666666,
