ix,year_0,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20
0,4.753994027620306,8.666518317000538,8.80246255963896,5.243069381994578,3.636549863755052,1.8772221585997377,3.593903000038884,5.1947734067394284,2.6298411246041193,0.9713519150528027,2.966512842417415,2.670659780807222,4.142783390851904,6.147827513159944,5.150072500646622,6.987177176511394,6.714963925350586,9.57416309765584,13.703786187875602,7.177403007554683,13.61039973723102
1,0.0,0.0,5.186436691698822,6.517450803805259,4.8186058150787545,3.9090923272703617,3.403040484500998,2.1408489536885167,5.2425727505665325,3.846131527425078,1.925664984385723,3.057901894705324,0.0,0.0,0.9400811188738218,1.6576377877184791,2.9866692548920186,1.8137256933222423,0.8887332582159546,1.9582089633581476,4.714730916988249
2,2.569725907357316,5.192863143382549,6.261052392606432,6.522776998368157,10.292929590757721,0.0,0.6904577103596806,2.4039218862976046,3.2696417411684306,2.699499902920086,2.414223078740031,1.4677152046375501,2.529292526379295,0.8368497293333772,3.449423613227942,3.037982125715213,2.209188189507001,2.4495769144832575,0.586754544994315,3.088658359774554,0.9644228154054644
3,6.904397236591358,8.385965281317597,5.503016260709403,6.560522217631103,6.227281117625439,4.004849018959443,6.2321384046169745,3.2762546536010517,5.735104025962233,1.9546032771699977,1.7432480870338085,1.8337439516832106,3.081055930475206,4.511266962911249,3.774669080051234,3.7377868781004837,4.296839581213907,2.8679729123853783,2.5254706461615957,7.116980989515375,2.9889523397500866
4,7.9930108886854425,6.782670795247151,0.0,0.413388883974132,3.0115681082060433,12.890436255398953,11.488682201927523,4.484560633581254,4.375877181751156,5.728444620816351,0.0,0.0,0.0,0.8125779543014408,1.4114217702430214,2.6765956923449012,2.399471713773687,2.464586373059298,2.0538143112095435,10.857419913363985,8.037284259166556
5,1.9357582378386486,5.698133034264765,6.340240171288759,1.6532006417094958,0.0,5.393123273706844,2.6976304752052576,7.077129254143925,4.477539097431031,0.0,0.0,0.0,3.120759372782188,1.830455680246519,1.2031931531822035,2.105264923610252,1.2689723457799398,3.2442469373188914,10.06305152791123,6.138569093505664,9.34240925141104
6,0.5121762052277826,2.0283527940154564,11.38435285276961,15.714901844246313,5.8404369241999134,6.95680193096568,4.192433335019922,5.4094975307994435,4.017857469404862,5.774573119596691,6.227486757574297,11.038061213198379,5.1040988502936795,2.3074314034985806,1.9629360758918017,2.32327519012683,5.204526547135364,6.377304873458763,12.106667593182896,16.877891738304566,25.361556850232276
7,0.714262093323857,0.6852582255446571,3.686907861438342,4.236248512604484,6.8881015046288905,10.724160241232111,15.05791547978801,0.0,0.0,0.0,0.0,0.0,10.116835534896325,6.152971596074938,10.994208401395746,8.405023627410516,2.4845284965409165,4.124566018722426,17.172727849828494,12.455497927283629,3.219209010584782
8,5.616780296034321,8.712486874402122,23.28856325846828,8.662088794428353,5.203160919187708,7.310036467210198,0.0,0.2630102746788135,0.4743941983620462,0.37880111346670003,0.625783366630696,0.0,0.0,0.0,0.0,0.0,5.201452885407059,6.060809638742587,6.326575155280454,0.0,0.0
9,0.0,1.8995908864568412,2.3061361265156473,7.101583296669963,0.0,0.0,10.224703276363917,4.890317434836952,0.0,0.0,0.0,0.0,1.3949035292543097,2.5930275824478897,4.769303208650369,3.054352698329116,1.1282192327506737,0.9988990414552977,11.081415656407339,12.929744961562982,7.616617802133966
10,0.22300263048174288,1.6393569966142383,1.6073469431758736,2.7822626183415324,8.294163901390364,2.6563020554628385,5.285464526403107,0.0,13.093055328815852,7.325644278002094,13.601229207319737,49.08409857231405,44.165471888651,45.83686729071905,14.467683627638143,16.786915147211925,17.40438719842769,11.700405416751906,12.075546815566284,49.713510483648015,29.850414523255452
11,8.531237251835512,0.0,0.1776930678739175,0.39690616599612494,0.4184624933632077,0.0,0.0,3.130215346114515,4.309341968543965,4.65728468001214,4.5200126542778865,8.599192571789366,6.446586611794599,3.3004804896279674,1.5652900075182097,0.3823274184667738,0.49583396325149287,3.1122652358562783,12.99166853172209,15.6405942032247,14.094890308711296
12,24.46631745362265,30.425544755220905,25.226555274865145,34.11881952512379,27.65998258978757,17.22402765787295,7.527773206054726,8.724570247791398,0.0,0.0,0.0,0.0,0.0,0.0,10.795723232569022,6.856520903898119,6.271597103953646,5.965719219861487,6.547923924399698,2.0821268849318653,0.74845457379942
13,0.0,0.0,1.4345356382751246,1.7473360934572717,5.9887875175467835,8.361060275294253,14.04700060503122,8.403432852510639,18.361864858920974,11.054922634264868,7.790304682913282,3.2092114101264113,0.0,0.8438839111567865,2.228271104035449,0.0,7.279189568495604,5.756678335195903,7.7923894760408094,0.0,1.0523678215076049
