year,n,zero_fraction,mean_productivity,median_productivity,var_productivity,mean_log_productivity,var_log_productivity,mean_positive_log_productivity,var_positive_log_productivity,q25_productivity,q75_productivity,q90_productivity,q95_productivity
0,50000,0.18348,4.553054314690533,2.6856323496717076,30.56521115452453,1.0113951132096217,1.3917923824707226,1.130387278300925,1.6764148627121687,0.4574066108927049,6.604600733434163,11.718191480446283,15.631351608223772
1,50000,0.13096,5.472176582832863,3.874345524383571,36.95691214784393,1.2992287437191588,1.171368428673692,1.4342874240816406,0.9883053465977673,1.5481523770387158,7.391815914426671,12.423975575408832,16.547318592142013
2,50000,0.09788,6.304816597549866,4.582228062451321,43.27553751795741,1.4812368715571298,1.0596419635013485,1.57870871837684,0.8503808887246457,2.1970126630275493,8.321898309524077,13.663800204330487,18.253522279172934
3,50000,0.09098,6.882198344286061,5.059414296836234,49.33842709760726,1.5751388622919111,1.044351906655778,1.6788187758691118,0.7872678838962175,2.566963511963925,9.023701366326188,14.788826674254631,19.586277613558938
4,50000,0.08958,7.220235995643742,5.335054992075974,53.25292058430476,1.621895117510872,1.0501114838981294,1.7337686999423259,0.7595237068292543,2.727710345145113,9.443625224573882,15.44748776897123,20.41642199239078
5,50000,0.08846,7.4221975539864475,5.5607071002455015,53.69673854323653,1.6513298195001411,1.0530577143837712,1.766975621137324,0.7455577769365693,2.8592331952347982,9.7218405161269,15.843305315872371,21.0064979937839
6,50000,0.0976,6.9568554879651785,5.076269296739198,51.72116607501264,1.5706503004752785,1.083984851057043,1.69495750532015,0.7802239358622538,2.516845681289407,9.101455850447287,14.966671321191196,20.158164053524132
7,50000,0.1016,6.606403514916452,4.79218322297749,50.1143999093739,1.5179896426430077,1.0834532083361954,1.6404136017028763,0.7992254706015846,2.353920466816792,8.643771801753452,14.273241276977563,19.05513648416375
8,50000,0.10104,6.483977688822392,4.725897870866691,45.83773362046024,1.503986622253206,1.0747976468125813,1.6205892476687929,0.8061065774036615,2.289008247926607,8.540109032908063,13.94720244384807,18.981285507616473
9,50000,0.12532,6.288175638541678,4.402200478955058,52.40823901627904,1.4241651853125565,1.1869354543078143,1.5939351989756216,0.8372184796681628,1.9875435037349536,8.229797575229615,13.983613302699483,18.849468139019287
10,50000,0.13396,6.117070939807312,4.19759162247917,51.56811055706817,1.381926560242508,1.2204347804449502,1.5635982823342582,0.8763038831272084,1.8180591827319295,8.001154099997489,13.725630279345546,18.862067733714564
11,50000,0.13976,5.950688271453343,4.0673050489425915,47.945100735861324,1.349422618901016,1.2345346199170735,1.5379670284093536,0.8936695893352357,1.7087854675188738,7.840106099139398,13.522592358207437,18.55621231508448
12,50000,0.13922,5.897129038635667,4.027147089500381,49.05205469898593,1.3416440793838889,1.226437852105748,1.5259290421104281,0.8934249459182542,1.6942690199926573,7.706379216499235,13.342212044571555,18.21683005632172
13,50000,0.13812,5.8313095933334775,3.9510159239301625,49.647558693376595,1.3311676846699805,1.2180287864496728,1.5074782680047074,0.9064954792759855,1.6735234978323008,7.647184720796346,13.083798051969257,17.933450226010194
14,50000,0.14092,5.7986562411632585,3.904533273925237,49.1589799779279,1.3199160152084872,1.229556413317967,1.5011908463382853,0.9119177033002624,1.6302443289667143,7.574499724368121,13.116262765911005,18.0629415037178
15,50000,0.1408,5.790499242287954,3.9103402307040493,48.62206543000125,1.3193933398990874,1.2271236215848536,1.5006306912797405,0.907560366818377,1.6095074767201618,7.5544697557445115,13.020372605054016,17.99650184165639
16,50000,0.14132,5.805373554872954,3.9131115563599335,49.2128046858832,1.3188432775672794,1.2330959954962375,1.5014807696733976,0.9109544763859821,1.595053492051086,7.612427679012333,13.170193617231439,18.173325047192456
17,50000,0.14046,5.767659844148348,3.912420663707463,47.327327145557405,1.3193507962388644,1.2206533263989325,1.499897424691114,0.9017611418602248,1.630491444525685,7.525822673342072,13.049750166599365,17.903923152798097
18,50000,0.13992,5.7714610541990075,3.9026524738708717,48.4198233431184,1.318774372710291,1.2221405446308162,1.496184372967516,0.9148797019736453,1.6257580230498148,7.552462933064978,13.046654984230367,18.077109237099474
19,50000,0.13724,5.742032465240459,3.8729042713972763,47.73852090959532,1.3182949650055118,1.2099019684577665,1.4864789343436464,0.9226524206103565,1.6233591716079436,7.5552499825086326,12.98206320353168,17.782784425624797
20,50000,0.13982,5.729265612492577,3.8712311492427327,45.64415442293856,1.3166000812995362,1.213804956003783,1.4947181121325037,0.8952008127317908,1.6248944161066716,7.527617151173677,12.999684638985045,17.85467733833056
